,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
4001,Miguel Castro,4 Seam Fastball,-1.043,1.827,L,0.0,0.0
4030,Miguel Castro,4 Seam Fastball,-0.297,2.326,L,0.0,0.0
4031,Miguel Castro,4 Seam Fastball,-1.4,2.688,L,0.0,0.0
4032,Miguel Castro,4 Seam Fastball,-1.056,3.036,L,1.0,0.0
4033,Miguel Castro,Changeup,0.175,1.246,L,1.0,1.0
4034,Miguel Castro,Slider,-1.319,2.875,L,1.0,2.0
4035,Miguel Castro,4 Seam Fastball,-1.717,3.054,L,0.0,0.0
4036,Miguel Castro,4 Seam Fastball,0.036000000000000004,2.069,L,1.0,0.0
4037,Miguel Castro,Slider,-0.797,3.405,L,1.0,1.0
4038,Miguel Castro,Slider,-1.856,3.737,L,1.0,2.0
4039,Miguel Castro,Changeup,-0.977,0.21600000000000005,L,2.0,2.0
4040,Miguel Castro,4 Seam Fastball,-0.163,2.597,L,3.0,2.0
8977,Andrew Cashner,2 Seam Fastball,-1.5830000000000002,3.047,L,0.0,0.0
8978,Andrew Cashner,4 Seam Fastball,0.036000000000000004,1.828,L,1.0,0.0
8979,Andrew Cashner,4 Seam Fastball,-0.071,1.96,R,0.0,0.0
8980,Andrew Cashner,4 Seam Fastball,0.21600000000000005,1.608,L,0.0,0.0
8981,Andrew Cashner,4 Seam Fastball,0.5660000000000001,1.082,L,0.0,1.0
8982,Andrew Cashner,2 Seam Fastball,-1.306,2.506,L,0.0,2.0
8983,Andrew Cashner,4 Seam Fastball,0.747,3.3510000000000004,L,0.0,2.0
8984,Andrew Cashner,2 Seam Fastball,0.524,2.557,L,1.0,2.0
8985,Andrew Cashner,4 Seam Fastball,0.02,2.386,R,0.0,0.0
8986,Andrew Cashner,2 Seam Fastball,-1.3630000000000002,2.717,R,0.0,1.0
8987,Andrew Cashner,4 Seam Fastball,0.812,3.21,R,0.0,2.0
8988,Andrew Cashner,Slider,1.249,1.355,R,0.0,2.0
9002,Andrew Cashner,2 Seam Fastball,-0.162,1.7990000000000002,L,0.0,0.0
9003,Andrew Cashner,2 Seam Fastball,-1.232,2.238,L,0.0,0.0
9004,Andrew Cashner,4 Seam Fastball,0.294,2.844,L,0.0,1.0
9005,Andrew Cashner,2 Seam Fastball,0.593,2.592,R,0.0,0.0
9006,Andrew Cashner,2 Seam Fastball,-1.386,2.798,L,0.0,0.0
9007,Andrew Cashner,2 Seam Fastball,1.033,2.863,L,1.0,0.0
9008,Andrew Cashner,2 Seam Fastball,-0.369,1.31,L,2.0,0.0
9009,Andrew Cashner,4 Seam Fastball,-0.936,2.107,L,3.0,0.0
9010,Andrew Cashner,2 Seam Fastball,-0.597,1.516,L,3.0,1.0
9011,Andrew Cashner,4 Seam Fastball,-0.908,2.045,R,0.0,0.0
9012,Andrew Cashner,2 Seam Fastball,-0.314,0.916,R,0.0,1.0
