,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
2178,David Price,FF,0.033,1.358,R,0.0,0.0
2179,David Price,FF,-0.391,2.826,R,1.0,0.0
2180,David Price,FF,-0.204,1.778,R,1.0,1.0
2181,David Price,FF,0.66,2.638,R,1.0,2.0
2182,David Price,FC,-0.579,1.558,R,1.0,2.0
2183,David Price,FF,0.382,2.761,R,0.0,0.0
2184,David Price,FF,-1.071,3.18,L,0.0,0.0
2185,David Price,FF,0.491,2.481,L,1.0,0.0
2197,David Price,FF,0.573,3.595,R,0.0,0.0
2198,David Price,FF,0.238,1.62,R,1.0,0.0
2199,David Price,FF,0.867,3.018,R,1.0,1.0
2200,David Price,FT,-0.542,3.175,R,1.0,2.0
2201,David Price,FF,0.35600000000000004,1.726,R,0.0,0.0
2202,David Price,FC,0.455,2.9810000000000003,R,0.0,1.0
2203,David Price,FF,1.228,3.3160000000000003,R,0.0,2.0
2204,David Price,FF,0.633,2.452,R,1.0,2.0
2205,David Price,FC,0.336,2.241,R,1.0,2.0
2206,David Price,FF,0.041,2.817,R,0.0,0.0
2207,David Price,FC,-0.521,1.662,R,0.0,1.0
2208,David Price,FF,1.364,2.506,R,1.0,1.0
2209,David Price,FF,0.251,2.375,R,2.0,1.0
2237,David Price,FF,0.723,3.354,L,0.0,0.0
2238,David Price,FT,0.257,2.121,L,1.0,0.0
2239,David Price,FF,0.354,1.739,R,0.0,0.0
2240,David Price,FF,-0.581,1.7080000000000002,R,0.0,1.0
2241,David Price,FF,1.633,3.5410000000000004,R,0.0,2.0
2242,David Price,FC,-0.279,1.539,R,1.0,2.0
2243,David Price,FT,0.546,2.344,L,0.0,0.0
2244,David Price,KC,0.321,2.008,L,0.0,1.0
2245,David Price,FF,0.199,3.212,L,0.0,2.0
2246,David Price,FT,-1.983,4.135,L,0.0,2.0
2247,David Price,FC,-1.285,1.474,L,1.0,2.0
2248,David Price,FF,-1.526,2.716,L,1.0,2.0
2249,David Price,FF,-0.041,2.4290000000000003,L,2.0,2.0
2260,David Price,FT,-0.46,1.887,R,0.0,0.0
2261,David Price,CH,0.8859999999999999,2.253,R,0.0,1.0
2262,David Price,FT,0.18600000000000005,1.82,R,0.0,0.0
2263,David Price,FC,1.215,2.443,R,0.0,1.0
2264,David Price,FF,1.515,2.651,R,1.0,1.0
2265,David Price,FF,-0.055,2.732,R,2.0,1.0
2266,David Price,FF,0.017,3.233,L,0.0,0.0
2267,David Price,FC,-0.034,3.0,L,0.0,1.0
2268,David Price,FF,-0.65,2.064,L,0.0,2.0
2287,David Price,CH,0.408,1.924,R,0.0,0.0
2288,David Price,FC,1.6469999999999998,2.927,R,0.0,1.0
2289,David Price,FF,0.4970000000000001,1.801,R,1.0,1.0
2290,David Price,FF,1.108,2.787,R,0.0,0.0
2291,David Price,CH,0.217,1.981,R,0.0,1.0
2292,David Price,FF,1.394,3.644,R,0.0,0.0
2293,David Price,FF,-0.34,2.971,R,1.0,0.0
2294,David Price,FF,0.03,3.939,L,0.0,0.0
2295,David Price,CH,0.46,2.18,L,1.0,0.0
2296,David Price,FC,-0.843,2.392,L,1.0,1.0
2297,David Price,FF,-0.528,3.322,L,1.0,2.0
2308,David Price,FF,-0.799,3.703,R,0.0,0.0
2309,David Price,FF,0.979,4.397,R,1.0,0.0
2310,David Price,FF,0.604,2.616,R,2.0,0.0
2311,David Price,FF,-0.444,3.462,L,0.0,0.0
2312,David Price,FF,-0.209,2.883,L,1.0,0.0
2313,David Price,FF,0.446,3.12,L,1.0,1.0
2314,David Price,FC,-1.392,1.47,L,1.0,2.0
2315,David Price,FF,-0.391,2.945,L,2.0,2.0
2316,David Price,FF,-0.373,2.094,L,2.0,2.0
2317,David Price,FF,-0.188,2.548,R,0.0,0.0
2318,David Price,FF,0.334,2.78,R,0.0,1.0
2319,David Price,FT,-0.7809999999999999,2.925,R,0.0,2.0
2320,David Price,CH,1.645,2.204,R,0.0,0.0
2321,David Price,FF,0.36,2.699,R,1.0,0.0
2339,David Price,FF,1.004,2.799,L,0.0,0.0
2340,David Price,FF,0.348,1.835,R,0.0,0.0
2341,David Price,FF,-0.987,2.444,R,0.0,1.0
2342,David Price,FF,1.4340000000000002,2.1180000000000003,R,0.0,2.0
2343,David Price,FC,1.063,2.05,R,1.0,2.0
2344,David Price,CH,1.965,3.378,R,1.0,2.0
2345,David Price,FF,0.7040000000000001,2.803,R,2.0,2.0
2346,David Price,FC,-1.4680000000000002,1.22,R,2.0,2.0
2347,David Price,FF,-0.019,1.5319999999999998,R,3.0,2.0
2348,David Price,CH,-0.079,2.041,R,0.0,0.0
2349,David Price,KC,-0.153,2.0,R,0.0,1.0
2369,David Price,FF,0.377,2.842,R,0.0,0.0
2370,David Price,FT,0.292,2.822,L,0.0,0.0
2371,David Price,KC,-0.308,2.346,L,0.0,1.0
2372,David Price,FF,0.183,3.614,L,0.0,2.0
2373,David Price,FF,0.244,3.054,R,0.0,0.0
2374,David Price,FC,-0.014,1.77,R,0.0,1.0
2387,David Price,FF,-0.189,3.418,R,0.0,0.0
2388,David Price,FF,0.111,2.738,R,1.0,0.0
2389,David Price,FF,0.08900000000000001,2.644,R,1.0,1.0
2390,David Price,FF,-1.253,2.484,R,1.0,2.0
2391,David Price,FT,0.032,2.707,R,2.0,2.0
2392,David Price,FF,-0.452,2.847,R,2.0,2.0
2393,David Price,FF,0.042,2.012,R,0.0,0.0
2394,David Price,CH,0.009000000000000001,0.48,R,0.0,1.0
2395,David Price,FF,0.867,2.451,R,0.0,2.0
2396,David Price,KC,-0.197,0.7490000000000001,R,0.0,2.0
