,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
5203,Zack Greinke,4 Seam Fastball,0.493,3.312,R,0.0,0.0
5204,Zack Greinke,4 Seam Fastball,0.557,2.57,R,0.0,1.0
5205,Zack Greinke,Slider,0.271,1.629,R,0.0,2.0
5206,Zack Greinke,Slider,0.011,2.384,R,0.0,2.0
5207,Zack Greinke,Slider,0.7140000000000001,0.736,R,0.0,2.0
5208,Zack Greinke,2 Seam Fastball,-0.106,2.386,R,1.0,2.0
5209,Zack Greinke,4 Seam Fastball,0.375,1.784,R,0.0,0.0
5210,Zack Greinke,4 Seam Fastball,0.778,2.424,R,0.0,1.0
5211,Zack Greinke,4 Seam Fastball,0.738,2.605,R,0.0,2.0
5212,Zack Greinke,Changeup,-1.429,1.159,R,0.0,2.0
5213,Zack Greinke,Changeup,0.469,0.478,R,1.0,2.0
5214,Zack Greinke,4 Seam Fastball,1.167,2.627,R,2.0,2.0
5215,Zack Greinke,Changeup,-0.098,1.272,R,2.0,2.0
5216,Zack Greinke,4 Seam Fastball,1.266,2.602,R,0.0,0.0
5217,Zack Greinke,4 Seam Fastball,1.15,2.822,R,0.0,1.0
5218,Zack Greinke,4 Seam Fastball,1.965,3.866,R,0.0,2.0
5219,Zack Greinke,Changeup,-0.8809999999999999,0.184,R,1.0,2.0
5220,Zack Greinke,4 Seam Fastball,0.981,2.067,R,2.0,2.0
5221,Zack Greinke,Slider,0.78,2.293,R,2.0,2.0
5222,Zack Greinke,4 Seam Fastball,0.989,1.5530000000000002,R,0.0,0.0
5223,Zack Greinke,2 Seam Fastball,0.6829999999999999,2.209,R,1.0,0.0
5224,Zack Greinke,4 Seam Fastball,-0.5920000000000001,2.212,R,1.0,1.0
5225,Zack Greinke,4 Seam Fastball,0.599,1.947,R,0.0,0.0
5226,Zack Greinke,4 Seam Fastball,1.252,0.946,R,0.0,1.0
5227,Zack Greinke,Slider,1.022,1.612,R,1.0,1.0
5228,Zack Greinke,Slider,1.07,0.15,R,1.0,2.0
5239,Zack Greinke,Changeup,-1.305,2.937,L,0.0,0.0
5240,Zack Greinke,Changeup,-0.921,2.132,L,1.0,0.0
5241,Zack Greinke,4 Seam Fastball,0.534,4.077,R,0.0,0.0
5242,Zack Greinke,4 Seam Fastball,1.018,2.902,R,1.0,0.0
5243,Zack Greinke,Changeup,-0.131,1.961,R,1.0,1.0
5244,Zack Greinke,4 Seam Fastball,-1.037,2.449,L,0.0,0.0
5245,Zack Greinke,Changeup,-1.3630000000000002,1.5219999999999998,L,0.0,1.0
5246,Zack Greinke,4 Seam Fastball,-0.721,5.132999999999999,L,0.0,2.0
5247,Zack Greinke,Changeup,-2.016,2.329,L,1.0,2.0
5248,Zack Greinke,2 Seam Fastball,0.095,2.819,L,2.0,2.0
