pitcher_id,pitch_type,px,pz,stand,b_count,s_count
David Price,4 Seam Fastball,0.033,1.358,R,0.0,0.0
David Price,4 Seam Fastball,-0.391,2.826,R,1.0,0.0
David Price,4 Seam Fastball,-0.204,1.778,R,1.0,1.0
David Price,4 Seam Fastball,0.66,2.638,R,1.0,2.0
David Price,Cutter,-0.579,1.558,R,1.0,2.0
David Price,4 Seam Fastball,0.382,2.761,R,0.0,0.0
David Price,4 Seam Fastball,-1.071,3.18,L,0.0,0.0
David Price,4 Seam Fastball,0.491,2.481,L,1.0,0.0
David Price,4 Seam Fastball,0.573,3.595,R,0.0,0.0
David Price,4 Seam Fastball,0.23800000000000002,1.62,R,1.0,0.0
David Price,4 Seam Fastball,0.867,3.0180000000000002,R,1.0,1.0
David Price,2 Seam Fastball,-0.542,3.175,R,1.0,2.0
David Price,4 Seam Fastball,0.35600000000000004,1.726,R,0.0,0.0
David Price,Cutter,0.455,2.9810000000000003,R,0.0,1.0
David Price,4 Seam Fastball,1.228,3.3160000000000003,R,0.0,2.0
David Price,4 Seam Fastball,0.633,2.452,R,1.0,2.0
David Price,Cutter,0.336,2.241,R,1.0,2.0
David Price,4 Seam Fastball,0.040999999999999995,2.8169999999999997,R,0.0,0.0
David Price,Cutter,-0.521,1.662,R,0.0,1.0
David Price,4 Seam Fastball,1.364,2.506,R,1.0,1.0
David Price,4 Seam Fastball,0.251,2.375,R,2.0,1.0
David Price,4 Seam Fastball,0.723,3.3539999999999996,L,0.0,0.0
David Price,2 Seam Fastball,0.257,2.121,L,1.0,0.0
David Price,4 Seam Fastball,0.354,1.739,R,0.0,0.0
David Price,4 Seam Fastball,-0.581,1.7080000000000002,R,0.0,1.0
David Price,4 Seam Fastball,1.633,3.5410000000000004,R,0.0,2.0
David Price,Cutter,-0.27899999999999997,1.5390000000000001,R,1.0,2.0
David Price,2 Seam Fastball,0.546,2.344,L,0.0,0.0
David Price,Knuckle Curve,0.321,2.008,L,0.0,1.0
David Price,4 Seam Fastball,0.19899999999999998,3.2119999999999997,L,0.0,2.0
David Price,2 Seam Fastball,-1.983,4.135,L,0.0,2.0
David Price,Cutter,-1.285,1.474,L,1.0,2.0
David Price,4 Seam Fastball,-1.526,2.716,L,1.0,2.0
David Price,4 Seam Fastball,-0.040999999999999995,2.4290000000000003,L,2.0,2.0
David Price,2 Seam Fastball,-0.46,1.8869999999999998,R,0.0,0.0
David Price,Changeup,0.8859999999999999,2.253,R,0.0,1.0
David Price,2 Seam Fastball,0.18600000000000005,1.82,R,0.0,0.0
David Price,Cutter,1.215,2.443,R,0.0,1.0
David Price,4 Seam Fastball,1.515,2.6510000000000002,R,1.0,1.0
David Price,4 Seam Fastball,-0.055,2.7319999999999998,R,2.0,1.0
David Price,4 Seam Fastball,0.017,3.233,L,0.0,0.0
David Price,Cutter,-0.034,3.0,L,0.0,1.0
David Price,4 Seam Fastball,-0.65,2.064,L,0.0,2.0
David Price,Changeup,0.408,1.9240000000000002,R,0.0,0.0
David Price,Cutter,1.6469999999999998,2.927,R,0.0,1.0
David Price,4 Seam Fastball,0.4970000000000001,1.801,R,1.0,1.0
David Price,4 Seam Fastball,1.1079999999999999,2.787,R,0.0,0.0
David Price,Changeup,0.217,1.9809999999999999,R,0.0,1.0
David Price,4 Seam Fastball,1.3940000000000001,3.6439999999999997,R,0.0,0.0
David Price,4 Seam Fastball,-0.34,2.971,R,1.0,0.0
David Price,4 Seam Fastball,0.03,3.9389999999999996,L,0.0,0.0
David Price,Changeup,0.46,2.18,L,1.0,0.0
David Price,Cutter,-0.843,2.392,L,1.0,1.0
David Price,4 Seam Fastball,-0.528,3.322,L,1.0,2.0
David Price,4 Seam Fastball,-0.799,3.7030000000000003,R,0.0,0.0
David Price,4 Seam Fastball,0.9790000000000001,4.397,R,1.0,0.0
David Price,4 Seam Fastball,0.604,2.616,R,2.0,0.0
