pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Kelvin Herrera,Changeup,-0.836,3.847,L,0.0,0.0
Kelvin Herrera,Changeup,-1.022,2.5839999999999996,L,1.0,0.0
Kelvin Herrera,4 Seam Fastball,-0.743,2.175,L,2.0,0.0
Kelvin Herrera,2 Seam Fastball,-0.7659999999999999,3.9219999999999997,L,2.0,1.0
Kelvin Herrera,2 Seam Fastball,-0.152,0.557,L,3.0,1.0
Kelvin Herrera,4 Seam Fastball,-0.217,0.866,L,3.0,2.0
Kelvin Herrera,2 Seam Fastball,-1.0,1.8359999999999999,R,0.0,0.0
Kelvin Herrera,2 Seam Fastball,-0.345,1.193,R,0.0,0.0
Kelvin Herrera,4 Seam Fastball,-0.48100000000000004,2.189,R,1.0,0.0
Kelvin Herrera,2 Seam Fastball,-1.2409999999999999,3.0039999999999996,R,0.0,0.0
Kelvin Herrera,4 Seam Fastball,-1.5430000000000001,2.989,R,0.0,1.0
Kelvin Herrera,4 Seam Fastball,-0.39899999999999997,3.875,R,0.0,2.0
Kelvin Herrera,Changeup,-0.006999999999999999,2.5380000000000003,R,0.0,2.0
Kelvin Herrera,Curveball,-1.673,3.157,L,0.0,0.0
Kelvin Herrera,2 Seam Fastball,-0.561,2.766,L,1.0,0.0
Kelvin Herrera,Changeup,-0.8859999999999999,2.906,L,1.0,1.0
Kelvin Herrera,4 Seam Fastball,-0.982,1.6369999999999998,L,0.0,0.0
Kelvin Herrera,4 Seam Fastball,-0.171,3.198,L,0.0,1.0
Kelvin Herrera,4 Seam Fastball,-0.301,2.298,L,0.0,2.0
Kelvin Herrera,4 Seam Fastball,-1.08,1.65,L,0.0,0.0
Ross Detwiler,4 Seam Fastball,-1.025,0.996,R,0.0,0.0
Ross Detwiler,Sinker,-0.43799999999999994,2.89,R,1.0,0.0
Ross Detwiler,4 Seam Fastball,-1.212,2.373,R,1.0,1.0
Ross Detwiler,4 Seam Fastball,-0.48100000000000004,3.359,R,2.0,1.0
Ross Detwiler,4 Seam Fastball,-0.528,1.9880000000000002,R,0.0,0.0
Ross Detwiler,Slider,0.353,2.114,R,0.0,1.0
Ross Detwiler,4 Seam Fastball,-1.483,3.093,R,0.0,2.0
Ross Detwiler,Slider,-0.792,0.6509999999999999,R,1.0,2.0
Ross Detwiler,Changeup,0.48700000000000004,3.076,R,2.0,2.0
Ross Detwiler,4 Seam Fastball,-0.551,3.6460000000000004,R,2.0,2.0
Ross Detwiler,Sinker,0.695,2.657,R,2.0,2.0
Ross Detwiler,Slider,0.353,3.951,R,0.0,0.0
Ross Detwiler,Sinker,-0.027999999999999997,1.982,R,1.0,0.0
Ross Detwiler,4 Seam Fastball,-0.604,4.539,R,0.0,0.0
Ross Detwiler,4 Seam Fastball,-0.474,1.706,R,1.0,0.0
Ross Detwiler,Changeup,0.079,1.817,R,1.0,1.0
Ross Detwiler,Changeup,0.32299999999999995,2.312,R,1.0,2.0
Ross Detwiler,Sinker,-0.531,1.901,R,0.0,0.0
Ross Detwiler,Slider,0.502,2.463,R,0.0,0.0
Ross Detwiler,4 Seam Fastball,-0.816,1.611,R,0.0,1.0
Ross Detwiler,Slider,1.791,1.7380000000000002,R,0.0,2.0
Ross Detwiler,Changeup,0.695,1.485,R,1.0,2.0
Ross Detwiler,Slider,-0.616,1.643,R,1.0,2.0
