pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Brad Hand,4 Seam Fastball,0.138,1.62,L,0.0,0.0
Brad Hand,4 Seam Fastball,0.69,0.546,L,0.0,1.0
Brad Hand,2 Seam Fastball,-0.659,1.39,L,1.0,1.0
Brad Hand,4 Seam Fastball,-0.998,2.019,L,2.0,1.0
Brad Hand,4 Seam Fastball,-0.259,2.269,L,2.0,2.0
Brad Hand,Curveball,1.617,3.457,L,2.0,2.0
Brad Hand,4 Seam Fastball,-1.406,2.055,L,3.0,2.0
Brad Hand,Curveball,-0.225,1.931,L,0.0,0.0
Brad Hand,2 Seam Fastball,0.467,1.825,L,0.0,1.0
Brad Hand,4 Seam Fastball,-0.113,2.253,L,0.0,0.0
Brad Hand,Curveball,0.396,3.175,L,0.0,1.0
Brad Hand,Curveball,-0.636,-1.014,L,0.0,2.0
Brad Hand,Curveball,-0.10800000000000001,1.17,L,1.0,2.0
Brad Hand,2 Seam Fastball,0.6509999999999999,2.736,L,2.0,2.0
Brad Hand,4 Seam Fastball,0.163,3.09,L,2.0,2.0
Brad Hand,2 Seam Fastball,-0.07400000000000001,1.2770000000000001,R,0.0,0.0
Brad Hand,Changeup,1.1740000000000002,3.0580000000000003,R,0.0,1.0
Brad Hand,Changeup,-0.632,1.3330000000000002,R,1.0,1.0
Brad Hand,Curveball,0.19399999999999998,1.3659999999999999,R,1.0,2.0
Brad Hand,2 Seam Fastball,-0.664,1.227,R,1.0,2.0
Brad Hand,Changeup,-0.031,2.016,R,2.0,2.0
Brad Hand,2 Seam Fastball,0.215,1.412,R,2.0,2.0
Brad Hand,2 Seam Fastball,0.028999999999999998,1.9580000000000002,R,2.0,2.0
Brad Hand,Changeup,-0.382,0.67,R,2.0,2.0
Brad Hand,2 Seam Fastball,0.166,1.304,R,3.0,2.0
Brad Hand,2 Seam Fastball,-0.17,1.845,R,3.0,2.0
Brad Hand,4 Seam Fastball,-0.8009999999999999,2.733,L,0.0,0.0
Brad Hand,Curveball,-1.166,1.565,L,0.0,1.0
Brad Hand,2 Seam Fastball,0.395,2.6510000000000002,L,1.0,1.0
