,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
7683,Bryan Shaw,Cutter,0.025,2.637,L,0.0,0.0
7684,Bryan Shaw,Cutter,-0.534,2.425,L,0.0,1.0
7685,Bryan Shaw,Cutter,-2.31,3.4760000000000004,L,0.0,2.0
7686,Bryan Shaw,Slider,-0.643,3.116,L,1.0,2.0
7687,Bryan Shaw,Slider,-0.782,3.004,R,0.0,0.0
7688,Bryan Shaw,Cutter,-0.596,3.594,R,0.0,0.0
7689,Bryan Shaw,Cutter,-0.7759999999999999,2.035,R,1.0,0.0
7690,Bryan Shaw,Cutter,0.955,2.866,R,1.0,1.0
7691,Bryan Shaw,Cutter,-1.033,3.585,R,2.0,1.0
7692,Bryan Shaw,Cutter,-0.597,4.029,R,3.0,1.0
7693,Bryan Shaw,Cutter,-0.3670000000000001,2.028,L,0.0,0.0
7694,Bryan Shaw,Cutter,-0.6609999999999999,1.761,L,0.0,1.0
14043,Bryan Shaw,Cutter,0.452,1.284,R,0.0,0.0
14044,Bryan Shaw,Cutter,1.538,2.014,R,1.0,0.0
14045,Bryan Shaw,Cutter,-0.595,1.907,R,2.0,0.0
14046,Bryan Shaw,Cutter,0.779,1.867,R,2.0,1.0
14047,Bryan Shaw,Cutter,-0.349,2.389,R,0.0,0.0
14048,Bryan Shaw,Cutter,0.116,4.259,R,0.0,1.0
14049,Bryan Shaw,Cutter,-0.972,2.276,R,1.0,1.0
14050,Bryan Shaw,Slider,2.383,1.23,R,1.0,2.0
14051,Bryan Shaw,Slider,1.578,1.016,R,2.0,2.0
18413,Bryan Shaw,Cutter,0.8390000000000001,1.59,R,0.0,0.0
18414,Bryan Shaw,Cutter,-0.2,2.482,R,1.0,0.0
18415,Bryan Shaw,Cutter,0.311,2.482,R,0.0,0.0
18416,Bryan Shaw,Cutter,0.48,2.89,R,0.0,0.0
18417,Bryan Shaw,Slider,2.226,0.527,R,0.0,1.0
18418,Bryan Shaw,Cutter,-0.47,2.273,R,1.0,1.0
18419,Bryan Shaw,Cutter,-0.8079999999999999,1.472,L,0.0,0.0
18420,Bryan Shaw,Cutter,-1.306,1.648,L,1.0,0.0
18421,Bryan Shaw,Cutter,0.428,1.897,L,2.0,0.0
18422,Bryan Shaw,Cutter,1.304,2.455,L,2.0,1.0
18423,Bryan Shaw,Cutter,0.307,1.14,L,3.0,1.0
18424,Bryan Shaw,Cutter,-0.263,2.553,L,3.0,2.0
35094,Bryan Shaw,Cutter,2.278,2.354,R,0.0,0.0
35095,Bryan Shaw,Cutter,0.417,1.632,R,1.0,0.0
35096,Bryan Shaw,Cutter,-1.325,3.991,R,2.0,0.0
35097,Bryan Shaw,Cutter,0.433,2.898,R,3.0,0.0
35098,Bryan Shaw,Cutter,-0.784,2.991,R,3.0,1.0
35099,Bryan Shaw,Slider,0.7,2.986,R,0.0,0.0
35100,Bryan Shaw,Cutter,0.161,1.922,L,0.0,0.0
35101,Bryan Shaw,Cutter,-1.058,2.799,L,0.0,1.0
