pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Jordan Zimmermann,4 Seam Fastball,-0.485,2.799,L,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.442,3.878,L,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,-1.605,2.827,L,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.47200000000000003,2.992,L,2.0,1.0
Jordan Zimmermann,4 Seam Fastball,0.17,3.39,L,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,-1.446,2.8,L,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.8590000000000001,3.2319999999999998,R,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.8029999999999999,2.502,R,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,-2.094,3.395,R,1.0,1.0
Jordan Zimmermann,Slider,0.258,1.751,R,2.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.315,2.19,R,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.375,2.1790000000000003,R,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,-1.2570000000000001,1.682,L,0.0,0.0
Jordan Zimmermann,Slider,-0.025,1.095,L,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-1.881,2.7489999999999997,L,2.0,0.0
Jordan Zimmermann,4 Seam Fastball,-1.157,2.154,L,3.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.516,2.0180000000000002,L,3.0,1.0
Jordan Zimmermann,Slider,-0.013999999999999999,2.251,L,3.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.355,3.565,L,3.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.762,3.199,R,0.0,0.0
Jordan Zimmermann,Slider,0.111,2.423,R,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.226,3.468,R,0.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.728,3.7260000000000004,L,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.215,3.133,L,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.623,2.386,R,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.008,2.897,R,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.598,2.182,R,0.0,2.0
Jordan Zimmermann,Slider,0.914,1.706,R,0.0,2.0
Jordan Zimmermann,Slider,0.586,1.445,R,0.0,0.0
Jordan Zimmermann,Slider,0.018000000000000002,2.9539999999999997,R,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.7190000000000001,3.195,L,0.0,0.0
Jordan Zimmermann,2 Seam Fastball,-0.7929999999999999,2.908,R,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.9470000000000001,2.938,R,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,1.266,3.037,R,0.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.846,1.2570000000000001,R,1.0,2.0
Jordan Zimmermann,Slider,0.47100000000000003,1.544,R,2.0,2.0
Jordan Zimmermann,Curveball,0.34700000000000003,2.983,L,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.7040000000000001,3.7110000000000003,L,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,-1.6469999999999998,2.415,L,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,0.21,2.233,L,2.0,1.0
Jordan Zimmermann,Curveball,0.946,0.9109999999999999,L,2.0,2.0
Jordan Zimmermann,Slider,-0.65,3.3169999999999997,L,3.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.081,2.702,R,0.0,0.0
Jordan Zimmermann,Curveball,0.7809999999999999,0.852,L,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.275,3.846,L,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.034,2.971,L,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,0.6729999999999999,4.8069999999999995,L,1.0,2.0
Jordan Zimmermann,Slider,-0.019,2.436,L,2.0,2.0
Jordan Zimmermann,Curveball,0.198,1.506,L,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.038,2.565,L,2.0,2.0
Jordan Zimmermann,Slider,-0.564,1.266,R,0.0,0.0
Jordan Zimmermann,Slider,0.39299999999999996,2.9810000000000003,R,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.12,3.56,R,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,-2.0140000000000002,3.388,R,1.0,2.0
Jordan Zimmermann,4 Seam Fastball,-1.47,3.4019999999999997,R,2.0,2.0
Jordan Zimmermann,Changeup,-0.068,2.1830000000000003,L,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,-1.219,2.479,L,0.0,1.0
Jordan Zimmermann,2 Seam Fastball,-0.048,2.855,L,0.0,2.0
Jordan Zimmermann,4 Seam Fastball,-1.2830000000000001,2.7239999999999998,R,0.0,0.0
Jordan Zimmermann,Slider,-0.59,3.389,R,1.0,0.0
Jordan Zimmermann,2 Seam Fastball,-0.08199999999999999,2.239,R,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,1.6230000000000002,1.632,R,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.002,3.16,R,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.37799999999999995,2.205,R,1.0,1.0
Jordan Zimmermann,Curveball,0.731,0.7390000000000001,R,1.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.19399999999999998,3.193,R,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.726,3.6010000000000004,L,0.0,0.0
Jordan Zimmermann,Changeup,-0.905,3.425,L,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.7190000000000001,3.7060000000000004,L,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.187,3.7119999999999997,L,1.0,2.0
Jordan Zimmermann,Slider,0.534,1.744,L,1.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.855,3.937,R,0.0,0.0
Jordan Zimmermann,Slider,-0.13,2.161,R,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.467,2.947,R,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,-0.5710000000000001,3.0410000000000004,R,1.0,2.0
Jordan Zimmermann,4 Seam Fastball,-0.301,3.07,L,0.0,0.0
Jordan Zimmermann,Slider,-0.22899999999999998,2.798,R,0.0,0.0
Jordan Zimmermann,4 Seam Fastball,0.40399999999999997,3.72,R,0.0,1.0
Jordan Zimmermann,4 Seam Fastball,0.434,2.7689999999999997,R,0.0,2.0
Jordan Zimmermann,Slider,-0.486,2.627,L,0.0,0.0
Jordan Zimmermann,2 Seam Fastball,-2.124,2.117,L,0.0,1.0
Jordan Zimmermann,Curveball,-0.138,1.662,L,1.0,1.0
Jordan Zimmermann,4 Seam Fastball,0.48700000000000004,4.419,L,1.0,2.0
Jordan Zimmermann,Curveball,-0.019,2.492,L,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.32899999999999996,1.841,L,2.0,2.0
Jordan Zimmermann,4 Seam Fastball,0.38799999999999996,1.138,R,0.0,0.0
Jordan Zimmermann,Slider,-0.956,2.627,R,1.0,0.0
Jordan Zimmermann,Changeup,-0.721,2.682,R,1.0,1.0
Jordan Zimmermann,2 Seam Fastball,-0.861,4.045,L,0.0,0.0
Jordan Zimmermann,Curveball,0.152,1.695,L,1.0,0.0
Jordan Zimmermann,4 Seam Fastball,-0.184,2.858,L,2.0,0.0
Daniel Norris,4 Seam Fastball,-0.764,2.125,L,0.0,0.0
Daniel Norris,4 Seam Fastball,-1.8530000000000002,1.55,L,0.0,1.0
Daniel Norris,4 Seam Fastball,-1.4909999999999999,3.638,L,1.0,1.0
Daniel Norris,4 Seam Fastball,0.207,2.434,L,2.0,1.0
Daniel Norris,4 Seam Fastball,-0.889,2.823,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.6890000000000001,2.475,R,0.0,1.0
Daniel Norris,Changeup,-0.053,1.3,R,0.0,2.0
Daniel Norris,Slider,-0.406,1.9569999999999999,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.016,0.943,R,0.0,1.0
Daniel Norris,Slider,-0.31,1.601,R,1.0,1.0
Daniel Norris,4 Seam Fastball,-0.32799999999999996,3.342,R,1.0,2.0
Daniel Norris,Curveball,0.223,3.949,R,1.0,2.0
Daniel Norris,Changeup,-1.062,2.623,R,2.0,2.0
Daniel Norris,Slider,-0.203,3.645,R,3.0,2.0
Daniel Norris,4 Seam Fastball,0.196,3.557,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-1.399,3.2439999999999998,R,1.0,0.0
Daniel Norris,Slider,0.077,-0.092,R,2.0,0.0
Daniel Norris,4 Seam Fastball,0.109,2.456,R,3.0,0.0
Daniel Norris,4 Seam Fastball,-0.494,3.0269999999999997,R,3.0,1.0
Daniel Norris,4 Seam Fastball,0.402,2.378,R,0.0,0.0
Daniel Norris,Curveball,0.36,3.839,R,0.0,1.0
Daniel Norris,Changeup,0.875,1.8419999999999999,R,1.0,1.0
Daniel Norris,Slider,-0.43,1.315,R,1.0,2.0
Daniel Norris,4 Seam Fastball,0.8270000000000001,1.03,R,2.0,2.0
Daniel Norris,4 Seam Fastball,0.154,2.8710000000000004,R,3.0,2.0
Daniel Norris,Changeup,0.048,-1.4369999999999998,R,3.0,2.0
Daniel Norris,Slider,0.775,3.042,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.002,1.986,R,0.0,1.0
Daniel Norris,Changeup,0.927,0.804,R,0.0,2.0
Daniel Norris,4 Seam Fastball,-0.024,1.56,R,0.0,0.0
Daniel Norris,Changeup,0.7,-0.084,R,0.0,1.0
Daniel Norris,4 Seam Fastball,0.063,3.182,R,1.0,1.0
Daniel Norris,4 Seam Fastball,-0.349,2.378,R,1.0,2.0
Daniel Norris,4 Seam Fastball,-0.836,2.7230000000000003,R,0.0,0.0
Daniel Norris,Slider,-0.282,2.366,R,0.0,1.0
Daniel Norris,4 Seam Fastball,-0.136,3.0660000000000003,L,0.0,0.0
Daniel Norris,Curveball,-1.246,0.008,L,0.0,1.0
Daniel Norris,4 Seam Fastball,-0.298,1.712,L,1.0,1.0
Daniel Norris,4 Seam Fastball,-0.8,4.381,L,0.0,0.0
Daniel Norris,Changeup,0.23600000000000002,2.9989999999999997,L,1.0,0.0
Daniel Norris,4 Seam Fastball,-1.1059999999999999,1.483,L,1.0,1.0
Daniel Norris,4 Seam Fastball,-1.099,1.746,L,2.0,1.0
Daniel Norris,4 Seam Fastball,-0.38,2.194,L,2.0,2.0
Daniel Norris,Slider,-0.753,2.173,R,0.0,0.0
Daniel Norris,Changeup,0.122,1.073,R,0.0,1.0
Daniel Norris,4 Seam Fastball,1.348,1.817,R,0.0,2.0
Daniel Norris,4 Seam Fastball,0.249,3.858,R,0.0,0.0
Daniel Norris,Slider,0.151,2.9189999999999996,R,1.0,0.0
Daniel Norris,4 Seam Fastball,-0.8079999999999999,1.476,R,1.0,1.0
Daniel Norris,4 Seam Fastball,0.8190000000000001,2.333,R,2.0,1.0
Daniel Norris,Changeup,-0.561,1.109,R,2.0,2.0
Daniel Norris,Slider,0.14,3.832,R,3.0,2.0
Daniel Norris,4 Seam Fastball,-0.54,2.658,R,0.0,0.0
Daniel Norris,Curveball,-1.127,0.7609999999999999,R,0.0,1.0
Daniel Norris,Changeup,0.141,-0.473,R,1.0,1.0
Daniel Norris,4 Seam Fastball,0.040999999999999995,2.006,R,2.0,1.0
Daniel Norris,Slider,-0.22699999999999998,0.469,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.536,2.701,R,1.0,0.0
Daniel Norris,4 Seam Fastball,-1.546,2.112,R,0.0,0.0
Daniel Norris,Changeup,0.624,0.986,R,1.0,0.0
Daniel Norris,4 Seam Fastball,0.5760000000000001,1.386,R,2.0,0.0
Daniel Norris,4 Seam Fastball,0.406,2.9130000000000003,R,3.0,0.0
Daniel Norris,4 Seam Fastball,0.57,2.157,R,3.0,1.0
Daniel Norris,Slider,0.205,2.8510000000000004,R,3.0,2.0
Daniel Norris,Changeup,-0.431,2.641,R,3.0,2.0
Daniel Norris,Changeup,-0.59,1.126,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-1.176,3.661,R,0.0,1.0
Daniel Norris,Changeup,-0.016,2.699,R,1.0,1.0
Daniel Norris,4 Seam Fastball,-0.433,2.015,R,0.0,0.0
Daniel Norris,4 Seam Fastball,1.213,3.92,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.47100000000000003,1.99,R,1.0,0.0
Daniel Norris,Slider,-0.789,2.6489999999999996,L,0.0,0.0
Daniel Norris,4 Seam Fastball,0.868,3.2539999999999996,L,0.0,1.0
Daniel Norris,Slider,-0.701,2.583,L,0.0,2.0
Daniel Norris,Curveball,-0.414,2.92,L,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.574,2.966,L,0.0,1.0
Daniel Norris,Slider,-2.02,1.611,L,0.0,2.0
Daniel Norris,Changeup,-1.883,0.14,L,1.0,2.0
Daniel Norris,Curveball,-2.12,-1.015,L,2.0,2.0
Daniel Norris,4 Seam Fastball,-0.138,3.9189999999999996,L,3.0,2.0
Daniel Norris,4 Seam Fastball,-0.632,2.647,L,3.0,2.0
Daniel Norris,Slider,0.795,4.022,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-0.196,3.642,R,1.0,0.0
Daniel Norris,Changeup,0.8059999999999999,3.9619999999999997,R,0.0,0.0
Daniel Norris,Changeup,-0.022000000000000002,1.367,R,1.0,0.0
Daniel Norris,Slider,0.105,3.1639999999999997,R,1.0,1.0
Daniel Norris,4 Seam Fastball,0.7290000000000001,1.515,R,0.0,0.0
Daniel Norris,Changeup,0.15,2.969,R,1.0,0.0
Daniel Norris,4 Seam Fastball,-0.873,3.2769999999999997,R,0.0,0.0
Daniel Norris,Slider,-0.081,0.495,R,1.0,0.0
Daniel Norris,4 Seam Fastball,0.261,3.985,R,2.0,0.0
Daniel Norris,4 Seam Fastball,0.221,3.6439999999999997,R,2.0,1.0
Daniel Norris,Slider,-1.0859999999999999,2.024,R,2.0,2.0
Daniel Norris,4 Seam Fastball,-0.613,3.2060000000000004,R,3.0,2.0
Daniel Norris,4 Seam Fastball,-0.446,3.011,R,0.0,0.0
Daniel Norris,4 Seam Fastball,-1.192,3.04,R,0.0,1.0
Daniel Norris,4 Seam Fastball,-2.7060000000000004,2.427,R,1.0,1.0
Edwin Jackson,4 Seam Fastball,1.032,1.2930000000000001,R,0.0,0.0
Edwin Jackson,4 Seam Fastball,0.364,3.012,R,1.0,0.0
Edwin Jackson,4 Seam Fastball,-1.5830000000000002,2.097,L,0.0,0.0
Edwin Jackson,4 Seam Fastball,-1.1740000000000002,2.775,L,1.0,0.0
Edwin Jackson,4 Seam Fastball,-0.778,2.659,L,2.0,0.0
Edwin Jackson,Changeup,-1.0659999999999998,3.512,L,2.0,1.0
Edwin Jackson,4 Seam Fastball,-0.10099999999999999,2.053,L,3.0,1.0
Edwin Jackson,Slider,0.514,0.518,L,3.0,2.0
Edwin Jackson,4 Seam Fastball,-2.099,2.3080000000000003,L,0.0,0.0
Edwin Jackson,4 Seam Fastball,-0.135,2.2680000000000002,L,1.0,0.0
Edwin Jackson,Curveball,-0.621,3.325,L,0.0,0.0
Edwin Jackson,4 Seam Fastball,0.191,3.6260000000000003,L,0.0,1.0
Edwin Jackson,Slider,0.813,-0.8740000000000001,L,0.0,2.0
Edwin Jackson,Slider,0.5760000000000001,0.037000000000000005,L,1.0,2.0
Edwin Jackson,4 Seam Fastball,0.086,1.4480000000000002,L,2.0,2.0
Edwin Jackson,4 Seam Fastball,0.322,1.69,R,0.0,0.0
Edwin Jackson,4 Seam Fastball,-0.852,2.613,L,0.0,0.0
Edwin Jackson,Slider,-1.275,0.7190000000000001,L,0.0,1.0
Edwin Jackson,4 Seam Fastball,1.395,1.2109999999999999,L,1.0,1.0
Edwin Jackson,4 Seam Fastball,0.105,2.474,L,2.0,1.0
Edwin Jackson,Slider,0.315,2.105,L,2.0,2.0
Edwin Jackson,4 Seam Fastball,-1.35,3.18,R,0.0,0.0
Edwin Jackson,4 Seam Fastball,-0.718,2.8539999999999996,R,1.0,0.0
Edwin Jackson,Slider,0.015,1.6980000000000002,R,1.0,1.0
Edwin Jackson,4 Seam Fastball,-0.455,1.732,L,0.0,0.0
Edwin Jackson,Curveball,-1.2930000000000001,2.206,L,0.0,1.0
Edwin Jackson,4 Seam Fastball,0.064,3.6010000000000004,L,0.0,2.0
Edwin Jackson,Slider,0.055,-0.27,L,0.0,2.0
Edwin Jackson,4 Seam Fastball,-1.818,2.039,L,1.0,2.0
Edwin Jackson,Slider,-0.494,0.221,L,2.0,2.0
Edwin Jackson,Slider,-0.662,1.306,L,3.0,2.0
Blaine Hardy,4 Seam Fastball,0.515,3.61,R,0.0,0.0
