pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Danny Duffy,4 Seam Fastball,-0.856,2.963,L,0.0,0.0
Danny Duffy,4 Seam Fastball,0.043,2.202,L,0.0,1.0
Danny Duffy,Curveball,-0.72,1.375,L,0.0,2.0
Danny Duffy,2 Seam Fastball,0.466,2.759,R,0.0,0.0
Danny Duffy,4 Seam Fastball,0.10099999999999999,3.012,R,0.0,1.0
Danny Duffy,4 Seam Fastball,0.33299999999999996,3.4210000000000003,R,0.0,2.0
Danny Duffy,Curveball,-1.051,0.32799999999999996,R,0.0,2.0
Danny Duffy,Changeup,0.769,1.652,R,1.0,2.0
Danny Duffy,Changeup,0.27,1.271,R,0.0,0.0
Danny Duffy,4 Seam Fastball,-0.735,2.346,R,0.0,1.0
Danny Duffy,2 Seam Fastball,0.226,2.971,R,0.0,0.0
Danny Duffy,Changeup,0.674,1.05,R,0.0,1.0
Danny Duffy,4 Seam Fastball,0.141,2.436,R,1.0,1.0
Danny Duffy,Curveball,-2.081,2.5610000000000004,R,1.0,2.0
Danny Duffy,Curveball,-0.594,3.391,R,2.0,2.0
Danny Duffy,4 Seam Fastball,0.079,3.91,R,2.0,2.0
Danny Duffy,Changeup,0.87,2.25,R,0.0,0.0
Danny Duffy,Changeup,-0.012,2.78,R,0.0,1.0
Danny Duffy,Changeup,-0.8270000000000001,1.483,R,0.0,2.0
Danny Duffy,4 Seam Fastball,-0.444,3.855,R,1.0,2.0
Danny Duffy,4 Seam Fastball,3.1319999999999997,5.269,L,0.0,0.0
Danny Duffy,Curveball,0.4370000000000001,2.114,L,1.0,0.0
Danny Duffy,4 Seam Fastball,-0.154,4.01,L,1.0,1.0
Danny Duffy,4 Seam Fastball,0.504,2.439,L,2.0,1.0
Danny Duffy,4 Seam Fastball,0.17,1.666,L,2.0,2.0
Danny Duffy,4 Seam Fastball,-0.262,2.8289999999999997,R,0.0,0.0
Danny Duffy,4 Seam Fastball,0.741,3.065,R,0.0,1.0
Danny Duffy,Changeup,0.74,1.7369999999999999,R,1.0,1.0
Danny Duffy,Curveball,-0.695,1.42,R,1.0,2.0
Danny Duffy,Changeup,0.486,1.3459999999999999,R,0.0,0.0
Danny Duffy,Changeup,-0.331,2.468,R,1.0,0.0
Danny Duffy,2 Seam Fastball,0.251,3.2439999999999998,R,0.0,0.0
Danny Duffy,4 Seam Fastball,0.35700000000000004,3.2539999999999996,R,0.0,1.0
Danny Duffy,4 Seam Fastball,0.496,2.827,R,0.0,2.0
Danny Duffy,Curveball,-0.8640000000000001,3.628,R,0.0,2.0
Danny Duffy,Changeup,-0.195,2.28,R,0.0,2.0
Danny Duffy,Curveball,-0.816,2.4530000000000003,L,0.0,0.0
Danny Duffy,Curveball,-1.0270000000000001,1.344,L,0.0,1.0
Danny Duffy,4 Seam Fastball,-0.7170000000000001,1.4240000000000002,L,1.0,1.0
Danny Duffy,4 Seam Fastball,-0.7240000000000001,1.87,L,2.0,1.0
Danny Duffy,2 Seam Fastball,-0.222,2.0909999999999997,R,0.0,0.0
Danny Duffy,2 Seam Fastball,0.8640000000000001,4.088,R,0.0,0.0
Danny Duffy,4 Seam Fastball,0.682,2.331,R,0.0,1.0
Danny Duffy,4 Seam Fastball,0.214,4.32,R,0.0,2.0
Danny Duffy,Curveball,0.301,1.192,R,0.0,0.0
Danny Duffy,4 Seam Fastball,-0.24100000000000002,2.655,R,1.0,0.0
Danny Duffy,2 Seam Fastball,0.133,2.785,R,0.0,0.0
Danny Duffy,4 Seam Fastball,0.048,3.0060000000000002,R,0.0,1.0
Danny Duffy,Curveball,-0.915,2.293,R,0.0,2.0
Danny Duffy,4 Seam Fastball,-0.583,1.777,R,0.0,2.0
Danny Duffy,4 Seam Fastball,-0.299,2.417,R,0.0,2.0
Danny Duffy,Curveball,-0.841,1.9909999999999999,R,0.0,2.0
Danny Duffy,Curveball,0.33899999999999997,2.114,R,0.0,2.0
Danny Duffy,Changeup,-0.81,0.013999999999999999,R,0.0,2.0
Danny Duffy,Changeup,-0.8320000000000001,0.021,R,1.0,2.0
Danny Duffy,Curveball,0.34700000000000003,3.3569999999999998,R,2.0,2.0
Danny Duffy,Curveball,-0.434,2.201,L,0.0,0.0
Danny Duffy,4 Seam Fastball,1.148,3.615,L,0.0,1.0
Danny Duffy,Curveball,0.287,2.81,L,1.0,1.0
Danny Duffy,Curveball,-0.8220000000000001,2.742,L,1.0,2.0
Danny Duffy,2 Seam Fastball,0.883,2.065,R,0.0,0.0
Danny Duffy,4 Seam Fastball,1.064,1.8840000000000001,R,1.0,0.0
Danny Duffy,4 Seam Fastball,0.617,1.8880000000000001,R,2.0,0.0
Danny Duffy,4 Seam Fastball,-0.214,2.151,R,2.0,1.0
Danny Duffy,4 Seam Fastball,-0.084,1.921,R,2.0,2.0
