pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Luis Garcia,2 Seam Fastball,0.168,1.5419999999999998,R,0.0,0.0
Luis Garcia,Slider,0.14300000000000002,3.123,R,1.0,0.0
Luis Garcia,Slider,0.513,1.462,R,1.0,1.0
Luis Garcia,Slider,1.202,1.284,R,1.0,2.0
Luis Garcia,2 Seam Fastball,0.46,1.534,R,1.0,2.0
Luis Garcia,4 Seam Fastball,1.011,4.221,R,2.0,2.0
Luis Garcia,4 Seam Fastball,-0.315,4.328,R,3.0,2.0
Luis Garcia,Slider,0.8109999999999999,0.898,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.429,2.7510000000000003,R,1.0,0.0
Luis Garcia,2 Seam Fastball,-0.71,5.687,R,1.0,1.0
Luis Garcia,Slider,0.04,1.692,R,2.0,1.0
Luis Garcia,Slider,-0.381,2.127,R,2.0,2.0
Luis Garcia,2 Seam Fastball,-0.33899999999999997,3.096,R,0.0,0.0
Luis Garcia,2 Seam Fastball,0.455,1.733,R,0.0,1.0
Luis Garcia,4 Seam Fastball,-0.379,1.515,R,1.0,1.0
Luis Garcia,4 Seam Fastball,1.518,3.1839999999999997,L,0.0,0.0
Luis Garcia,Slider,0.294,2.082,L,1.0,0.0
Luis Garcia,Slider,-1.5319999999999998,3.072,L,1.0,1.0
Luis Garcia,4 Seam Fastball,0.040999999999999995,1.995,L,2.0,1.0
Luis Garcia,4 Seam Fastball,0.34299999999999997,3.14,R,0.0,0.0
Luis Garcia,Slider,1.111,1.743,R,0.0,1.0
Luis Garcia,4 Seam Fastball,0.764,1.893,R,1.0,1.0
Luis Garcia,2 Seam Fastball,0.034,2.593,R,2.0,1.0
Luis Garcia,2 Seam Fastball,0.6659999999999999,2.7710000000000004,R,0.0,0.0
Luis Garcia,2 Seam Fastball,-0.13,1.775,R,1.0,0.0
Luis Garcia,2 Seam Fastball,-0.29600000000000004,2.3890000000000002,R,2.0,0.0
Luis Garcia,Slider,0.722,1.035,R,0.0,0.0
Luis Garcia,Slider,0.395,2.1790000000000003,R,1.0,0.0
Luis Garcia,2 Seam Fastball,-0.457,3.028,R,1.0,1.0
Luis Garcia,2 Seam Fastball,-0.245,2.18,R,0.0,0.0
Luis Garcia,4 Seam Fastball,1.095,2.17,R,0.0,1.0
Luis Garcia,Slider,1.203,2.589,R,0.0,2.0
Luis Garcia,Slider,0.298,2.08,R,0.0,2.0
Luis Garcia,Slider,0.948,1.66,L,0.0,0.0
Luis Garcia,2 Seam Fastball,-0.9279999999999999,3.468,L,0.0,1.0
Luis Garcia,4 Seam Fastball,-1.081,3.498,L,0.0,2.0
Luis Garcia,Slider,0.36,1.278,R,0.0,0.0
Luis Garcia,Slider,1.264,1.089,R,0.0,1.0
Luis Garcia,Slider,2.114,0.586,R,0.0,2.0
Luis Garcia,Slider,1.128,0.139,R,1.0,2.0
Luis Garcia,2 Seam Fastball,-0.442,3.1069999999999998,R,2.0,2.0
Luis Garcia,4 Seam Fastball,-0.517,2.886,R,0.0,0.0
Luis Garcia,4 Seam Fastball,0.153,4.396,R,0.0,1.0
Luis Garcia,4 Seam Fastball,0.884,2.454,R,1.0,1.0
Luis Garcia,Slider,0.895,1.245,R,0.0,0.0
Luis Garcia,2 Seam Fastball,-0.7440000000000001,2.935,R,1.0,0.0
Luis Garcia,4 Seam Fastball,0.8029999999999999,1.751,R,1.0,1.0
Luis Garcia,4 Seam Fastball,1.078,1.535,R,0.0,0.0
Luis Garcia,2 Seam Fastball,-0.28300000000000003,2.58,R,1.0,0.0
Luis Garcia,Slider,0.016,1.581,R,1.0,1.0
Luis Garcia,Slider,0.046,3.469,R,1.0,2.0
Luis Garcia,Slider,1.084,1.5819999999999999,R,1.0,2.0
Luis Garcia,4 Seam Fastball,1.639,1.7409999999999999,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.027000000000000003,1.943,R,1.0,0.0
Luis Garcia,Slider,1.219,-0.361,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-1.19,1.4809999999999999,R,1.0,0.0
Luis Garcia,4 Seam Fastball,-0.807,2.943,R,2.0,0.0
Luis Garcia,4 Seam Fastball,-0.8170000000000001,2.323,R,3.0,0.0
Luis Garcia,2 Seam Fastball,-0.5870000000000001,3.127,R,3.0,1.0
Luis Garcia,4 Seam Fastball,-0.996,3.6180000000000003,R,3.0,2.0
Trevor Cahill,Sinker,-0.722,1.578,L,0.0,0.0
Trevor Cahill,Sinker,0.048,0.6829999999999999,L,0.0,1.0
Trevor Cahill,Sinker,0.22399999999999998,1.436,L,1.0,1.0
Trevor Cahill,Changeup,-1.9969999999999999,1.3419999999999999,L,1.0,2.0
Trevor Cahill,Sinker,-0.43,1.415,L,0.0,0.0
Trevor Cahill,Sinker,-1.89,2.312,L,0.0,1.0
Trevor Cahill,4 Seam Fastball,0.857,1.636,L,1.0,1.0
Trevor Cahill,Sinker,0.37799999999999995,1.2409999999999999,L,2.0,1.0
Trevor Cahill,Sinker,-2.294,2.739,L,3.0,1.0
Trevor Cahill,Sinker,-0.39299999999999996,2.9019999999999997,R,0.0,0.0
Trevor Cahill,Sinker,-1.055,2.7560000000000002,R,0.0,0.0
Trevor Cahill,Slider,0.381,1.949,R,0.0,0.0
Trevor Cahill,Sinker,-0.187,2.261,R,0.0,1.0
Trevor Cahill,Sinker,1.351,2.437,R,0.0,2.0
Trevor Cahill,Slider,0.23600000000000002,1.8780000000000001,R,1.0,2.0
Trevor Cahill,Knuckle Curve,-0.413,1.996,R,0.0,0.0
Trevor Cahill,Sinker,0.57,2.9219999999999997,R,0.0,1.0
Trevor Cahill,Knuckle Curve,-0.78,2.759,R,1.0,1.0
Trevor Cahill,Slider,0.764,2.759,L,0.0,0.0
Trevor Cahill,Slider,-0.544,2.951,L,0.0,1.0
Trevor Cahill,Changeup,-0.6459999999999999,0.73,L,0.0,2.0
Trevor Cahill,Changeup,0.382,0.33799999999999997,L,1.0,2.0
Trevor Cahill,Changeup,-0.797,0.18,L,2.0,2.0
Trevor Cahill,Slider,0.97,2.613,R,0.0,0.0
Trevor Cahill,Sinker,0.755,0.945,R,0.0,0.0
Trevor Cahill,Sinker,-0.414,2.502,R,1.0,0.0
Trevor Cahill,Sinker,-0.501,1.901,R,1.0,1.0
Trevor Cahill,Knuckle Curve,1.3019999999999998,0.9,R,1.0,2.0
Trevor Cahill,Sinker,0.392,1.3319999999999999,R,2.0,2.0
Trevor Cahill,Sinker,-0.813,0.778,L,0.0,0.0
Trevor Cahill,Slider,-0.28,3.0980000000000003,L,0.0,1.0
Trevor Cahill,Sinker,-1.275,2.838,L,0.0,0.0
Trevor Cahill,Changeup,-0.41600000000000004,1.215,L,0.0,1.0
Trevor Cahill,Sinker,-1.875,1.7369999999999999,R,0.0,0.0
Trevor Cahill,Sinker,-1.419,2.761,R,1.0,0.0
Trevor Cahill,Changeup,0.068,2.274,R,2.0,0.0
Trevor Cahill,Sinker,-1.222,1.595,R,2.0,1.0
Trevor Cahill,Sinker,1.2770000000000001,2.436,R,3.0,1.0
Trevor Cahill,Sinker,0.063,1.439,R,0.0,0.0
Trevor Cahill,Slider,-0.006999999999999999,1.57,R,1.0,0.0
Trevor Cahill,Slider,1.178,-0.243,R,1.0,1.0
Trevor Cahill,Sinker,-1.145,1.851,R,2.0,1.0
Trevor Cahill,Changeup,0.253,0.654,R,2.0,2.0
Trevor Cahill,Sinker,-0.524,1.413,R,2.0,2.0
Trevor Cahill,Sinker,-0.7490000000000001,2.596,R,0.0,0.0
Trevor Cahill,Knuckle Curve,0.518,1.6969999999999998,R,0.0,1.0
Trevor Cahill,Knuckle Curve,0.662,0.797,R,1.0,1.0
Trevor Cahill,Changeup,0.385,1.105,R,1.0,2.0
Trevor Cahill,Sinker,-2.162,3.562,R,2.0,2.0
Trevor Cahill,Slider,0.6970000000000001,1.4480000000000002,R,0.0,0.0
Trevor Cahill,Sinker,-0.11599999999999999,0.33,R,0.0,1.0
Trevor Cahill,Sinker,-1.455,1.649,R,1.0,1.0
Trevor Cahill,Changeup,1.2,-0.006999999999999999,R,1.0,2.0
Trevor Cahill,Slider,-0.5379999999999999,3.88,R,2.0,2.0
Trevor Cahill,Sinker,-0.8029999999999999,1.442,R,2.0,2.0
Trevor Cahill,Knuckle Curve,-1.556,3.1639999999999997,R,2.0,2.0
Trevor Cahill,Slider,-1.301,3.4589999999999996,R,3.0,2.0
Luis Garcia,Slider,-0.667,2.884,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.078,3.4939999999999998,R,0.0,1.0
Luis Garcia,Slider,1.63,-0.7290000000000001,R,0.0,2.0
Luis Garcia,2 Seam Fastball,-1.432,4.598,R,1.0,2.0
Luis Garcia,Slider,0.094,0.41600000000000004,R,2.0,2.0
Luis Garcia,Slider,-0.132,0.882,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.026000000000000002,1.406,R,1.0,0.0
Luis Garcia,Slider,0.943,-0.7390000000000001,R,2.0,0.0
Luis Garcia,2 Seam Fastball,-1.885,4.496,R,2.0,1.0
Luis Garcia,2 Seam Fastball,-0.741,1.64,R,3.0,1.0
Luis Garcia,2 Seam Fastball,-0.7929999999999999,2.371,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.451,4.371,R,0.0,0.0
Luis Garcia,4 Seam Fastball,-0.13699999999999998,3.622,R,1.0,0.0
Luis Garcia,4 Seam Fastball,0.777,2.385,R,2.0,0.0
