pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Wei-Yin Chen,4 Seam Fastball,-0.243,3.0189999999999997,R,0.0,0.0
Wei-Yin Chen,4 Seam Fastball,-1.046,2.2680000000000002,R,0.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.981,3.645,R,0.0,0.0
Wei-Yin Chen,2 Seam Fastball,0.981,2.285,R,1.0,0.0
Wei-Yin Chen,2 Seam Fastball,0.958,2.492,R,0.0,0.0
Wei-Yin Chen,2 Seam Fastball,0.503,2.365,R,1.0,0.0
Wei-Yin Chen,Curveball,-0.52,0.907,R,1.0,1.0
Wei-Yin Chen,4 Seam Fastball,0.741,3.1639999999999997,R,1.0,2.0
Wei-Yin Chen,2 Seam Fastball,0.736,2.398,R,0.0,0.0
Wei-Yin Chen,2 Seam Fastball,0.721,2.331,R,1.0,0.0
Wei-Yin Chen,Changeup,0.501,1.7990000000000002,R,1.0,1.0
Wei-Yin Chen,2 Seam Fastball,-0.40399999999999997,1.571,R,2.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.34,2.408,R,2.0,2.0
Wei-Yin Chen,4 Seam Fastball,0.94,1.5930000000000002,R,2.0,2.0
Wei-Yin Chen,2 Seam Fastball,-0.868,2.162,R,3.0,2.0
Wei-Yin Chen,4 Seam Fastball,-0.496,3.25,R,3.0,2.0
Wei-Yin Chen,Changeup,1.01,3.187,R,3.0,2.0
Wei-Yin Chen,2 Seam Fastball,1.5430000000000001,2.596,R,0.0,0.0
Wei-Yin Chen,2 Seam Fastball,-0.589,1.6230000000000002,R,1.0,0.0
Wei-Yin Chen,2 Seam Fastball,-0.32,1.8430000000000002,R,2.0,0.0
Wei-Yin Chen,2 Seam Fastball,-0.934,3.35,R,2.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.502,1.9669999999999999,R,2.0,2.0
Wei-Yin Chen,2 Seam Fastball,1.452,3.141,R,0.0,0.0
Wei-Yin Chen,Changeup,0.7879999999999999,3.44,R,1.0,0.0
Wei-Yin Chen,4 Seam Fastball,-0.489,2.226,R,2.0,0.0
Wei-Yin Chen,Curveball,-0.797,3.39,R,0.0,0.0
Wei-Yin Chen,Changeup,0.889,4.005,R,0.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.7340000000000001,2.468,R,1.0,1.0
Wei-Yin Chen,Changeup,-0.406,2.005,R,1.0,2.0
Wei-Yin Chen,2 Seam Fastball,-0.636,3.04,R,0.0,0.0
Wei-Yin Chen,Slider,-1.7630000000000001,1.4709999999999999,R,0.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.159,1.896,R,1.0,1.0
Wei-Yin Chen,2 Seam Fastball,-0.24,3.84,R,1.0,2.0
Wei-Yin Chen,Slider,-1.051,1.744,R,1.0,2.0
Wei-Yin Chen,2 Seam Fastball,0.914,1.7180000000000002,R,1.0,2.0
Wei-Yin Chen,Changeup,-1.341,-0.366,R,2.0,2.0
Wei-Yin Chen,Slider,-1.661,0.3,R,3.0,2.0
Wei-Yin Chen,4 Seam Fastball,-1.181,2.4419999999999997,L,0.0,0.0
Wei-Yin Chen,Slider,-0.39799999999999996,1.137,L,0.0,1.0
Wei-Yin Chen,Slider,-1.89,0.075,L,0.0,2.0
Wei-Yin Chen,4 Seam Fastball,-1.568,2.0180000000000002,L,1.0,2.0
Wei-Yin Chen,2 Seam Fastball,0.449,1.101,L,2.0,2.0
Wei-Yin Chen,4 Seam Fastball,-0.5529999999999999,2.35,L,3.0,2.0
Wei-Yin Chen,Changeup,0.47100000000000003,3.2680000000000002,R,0.0,0.0
Wei-Yin Chen,Changeup,0.871,1.6769999999999998,R,0.0,1.0
Wei-Yin Chen,2 Seam Fastball,0.5770000000000001,1.786,R,1.0,1.0
Wei-Yin Chen,4 Seam Fastball,0.9840000000000001,1.74,R,1.0,2.0
Wei-Yin Chen,Slider,-1.198,2.354,R,1.0,2.0
Wei-Yin Chen,4 Seam Fastball,-1.003,3.255,R,1.0,2.0
Wei-Yin Chen,Changeup,-0.08199999999999999,1.345,R,0.0,0.0
Wei-Yin Chen,Slider,-0.718,2.1590000000000003,R,1.0,0.0
Wei-Yin Chen,2 Seam Fastball,-0.611,2.5780000000000003,R,0.0,0.0
Wei-Yin Chen,2 Seam Fastball,-0.075,2.6319999999999997,R,0.0,1.0
Wei-Yin Chen,2 Seam Fastball,-0.036000000000000004,4.065,R,0.0,2.0
Wei-Yin Chen,2 Seam Fastball,1.0590000000000002,2.661,R,0.0,0.0
