pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Jake Odorizzi,4 Seam Fastball,-0.1,2.92,L,0.0,0.0
Jake Odorizzi,4 Seam Fastball,-1.7,3.45,L,0.0,1.0
Jake Odorizzi,4 Seam Fastball,-0.88,2.73,L,1.0,1.0
Jake Odorizzi,Splitter,-1.51,2.24,L,1.0,2.0
Jake Odorizzi,Splitter,-0.47,1.48,R,0.0,0.0
Jake Odorizzi,Splitter,-0.6,1.27,R,0.0,1.0
Jake Odorizzi,Cutter,0.22,2.03,R,1.0,1.0
Jake Odorizzi,4 Seam Fastball,0.42,3.38,R,1.0,2.0
Jake Odorizzi,4 Seam Fastball,-1.54,3.12,L,0.0,0.0
Jake Odorizzi,Splitter,-0.47,1.04,L,1.0,0.0
Jake Odorizzi,4 Seam Fastball,-0.87,2.81,L,2.0,0.0
Jake Odorizzi,Splitter,-0.62,1.3,L,2.0,1.0
Jake Odorizzi,Splitter,-0.47,1.59,L,2.0,2.0
Jake Odorizzi,Curveball,0.12,3.11,R,0.0,0.0
Jake Odorizzi,4 Seam Fastball,-1.01,3.1,R,0.0,1.0
Jake Odorizzi,4 Seam Fastball,-0.61,3.19,L,0.0,0.0
Jake Odorizzi,4 Seam Fastball,0.03,3.03,L,0.0,1.0
Jake Odorizzi,Splitter,-1.0,1.13,L,0.0,2.0
Jake Odorizzi,Cutter,0.65,1.25,R,0.0,0.0
Jake Odorizzi,4 Seam Fastball,0.59,2.39,R,1.0,0.0
Jake Odorizzi,Cutter,1.11,2.75,R,1.0,1.0
Jake Odorizzi,4 Seam Fastball,0.38,3.88,R,1.0,2.0
Jake Odorizzi,4 Seam Fastball,0.12,3.31,R,1.0,2.0
Jake Odorizzi,Splitter,-0.3,1.93,R,1.0,2.0
Jake Odorizzi,Cutter,1.09,2.58,R,1.0,2.0
Jake Odorizzi,Splitter,-1.09,0.71,R,2.0,2.0
Jake Odorizzi,Cutter,-0.28,1.28,R,3.0,2.0
Jake Odorizzi,Curveball,-0.17,3.57,L,0.0,0.0
Jake Odorizzi,Splitter,-0.82,1.38,L,0.0,1.0
Jake Odorizzi,4 Seam Fastball,0.14,3.63,L,0.0,2.0
Jake Odorizzi,4 Seam Fastball,-0.58,3.07,L,1.0,2.0
Jake Odorizzi,Splitter,-0.58,1.57,L,1.0,2.0
Jake Odorizzi,4 Seam Fastball,-0.69,3.78,L,2.0,2.0
Jake Odorizzi,Cutter,-0.33,3.08,R,0.0,0.0
Jake Odorizzi,Cutter,0.59,3.0,R,0.0,1.0
Jake Odorizzi,Cutter,1.06,1.83,R,0.0,0.0
Jake Odorizzi,4 Seam Fastball,0.39,3.68,R,1.0,0.0
Jake Odorizzi,Splitter,-0.99,2.16,R,1.0,1.0
Jake Odorizzi,4 Seam Fastball,1.35,3.79,R,1.0,2.0
Jake Odorizzi,Splitter,-0.23,1.66,R,2.0,2.0
Jake Odorizzi,4 Seam Fastball,-1.61,4.1,R,2.0,2.0
Jake Odorizzi,Curveball,-1.2,3.82,L,0.0,0.0
Jake Odorizzi,Splitter,-0.7,0.76,L,1.0,0.0
