pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Masahiro Tanaka,Slider,-0.249,1.4069999999999998,L,0.0,0.0
Masahiro Tanaka,Splitter,-0.322,1.092,L,0.0,1.0
Masahiro Tanaka,Splitter,-0.365,-0.155,L,0.0,2.0
Masahiro Tanaka,4 Seam Fastball,0.264,3.3139999999999996,R,0.0,0.0
Masahiro Tanaka,Slider,-0.33799999999999997,1.745,R,1.0,0.0
Masahiro Tanaka,Sinker,-1.3980000000000001,2.472,R,1.0,1.0
Masahiro Tanaka,Splitter,-0.52,3.425,R,2.0,1.0
Masahiro Tanaka,4 Seam Fastball,0.615,2.411,R,3.0,1.0
Masahiro Tanaka,Slider,-0.10400000000000001,1.767,R,3.0,2.0
Masahiro Tanaka,Sinker,-0.816,2.877,R,0.0,0.0
Masahiro Tanaka,Splitter,-0.48700000000000004,1.031,R,0.0,1.0
Masahiro Tanaka,Slider,0.988,0.986,R,1.0,1.0
Masahiro Tanaka,Splitter,0.43799999999999994,2.329,R,2.0,1.0
Masahiro Tanaka,Slider,0.532,1.151,R,2.0,2.0
Masahiro Tanaka,Slider,1.075,1.516,R,0.0,0.0
Masahiro Tanaka,Sinker,-0.846,2.457,R,1.0,0.0
Masahiro Tanaka,Sinker,-1.139,2.06,R,1.0,1.0
Masahiro Tanaka,Slider,0.001,2.362,R,1.0,2.0
Masahiro Tanaka,Slider,0.698,2.9189999999999996,R,0.0,0.0
Masahiro Tanaka,Splitter,-0.107,1.037,R,0.0,1.0
Masahiro Tanaka,Splitter,-0.32899999999999996,1.9409999999999998,R,0.0,2.0
Masahiro Tanaka,Sinker,-1.449,1.29,L,0.0,0.0
Masahiro Tanaka,Sinker,-0.040999999999999995,1.633,L,1.0,0.0
Masahiro Tanaka,Splitter,0.4320000000000001,1.0,L,1.0,1.0
Masahiro Tanaka,Sinker,-0.217,0.9229999999999999,L,1.0,2.0
Masahiro Tanaka,4 Seam Fastball,-1.575,1.7830000000000001,L,2.0,2.0
Masahiro Tanaka,Slider,-0.205,1.599,L,3.0,2.0
Masahiro Tanaka,Sinker,0.18600000000000005,1.0979999999999999,L,0.0,0.0
Masahiro Tanaka,Splitter,0.725,0.575,L,1.0,0.0
Masahiro Tanaka,Sinker,-0.579,2.056,L,1.0,1.0
Masahiro Tanaka,Slider,0.561,0.982,R,0.0,0.0
Masahiro Tanaka,Slider,0.71,0.569,R,1.0,0.0
Masahiro Tanaka,Sinker,0.5660000000000001,2.73,R,2.0,0.0
Masahiro Tanaka,Sinker,-0.395,2.0,R,2.0,1.0
Masahiro Tanaka,Slider,0.483,1.1320000000000001,R,0.0,0.0
Masahiro Tanaka,Sinker,-0.359,3.554,R,1.0,0.0
Masahiro Tanaka,Sinker,0.92,1.368,R,2.0,0.0
Masahiro Tanaka,4 Seam Fastball,0.485,2.136,R,3.0,0.0
Masahiro Tanaka,Sinker,0.73,1.05,R,3.0,1.0
Masahiro Tanaka,Splitter,-0.302,2.544,L,0.0,0.0
Masahiro Tanaka,4 Seam Fastball,0.23,2.191,R,0.0,0.0
Masahiro Tanaka,Slider,-0.259,2.541,R,0.0,0.0
Masahiro Tanaka,Splitter,-0.46,1.266,R,0.0,1.0
Masahiro Tanaka,Splitter,-0.866,1.085,R,0.0,2.0
Masahiro Tanaka,Slider,-0.16,2.241,R,1.0,2.0
Masahiro Tanaka,Sinker,-1.26,3.217,R,0.0,0.0
Masahiro Tanaka,4 Seam Fastball,-0.973,3.464,R,1.0,0.0
Masahiro Tanaka,Slider,-0.419,1.965,R,2.0,0.0
Masahiro Tanaka,Sinker,-0.6779999999999999,2.454,R,2.0,1.0
Masahiro Tanaka,Curveball,0.29600000000000004,1.41,R,0.0,0.0
Masahiro Tanaka,Splitter,-0.096,1.6840000000000002,R,1.0,0.0
Masahiro Tanaka,Slider,-1.761,4.145,R,1.0,1.0
Masahiro Tanaka,Splitter,0.036000000000000004,2.138,R,2.0,1.0
Masahiro Tanaka,Slider,0.257,2.414,R,2.0,2.0
Masahiro Tanaka,Splitter,-0.251,3.037,L,0.0,0.0
Masahiro Tanaka,Sinker,-1.083,1.5590000000000002,L,0.0,0.0
Masahiro Tanaka,Curveball,-0.925,4.5089999999999995,L,1.0,0.0
Masahiro Tanaka,Sinker,-0.271,2.392,L,2.0,0.0
Masahiro Tanaka,Slider,-1.155,2.075,L,2.0,1.0
