pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Yusmeiro Petit,4 Seam Fastball,0.035,4.412,R,0.0,0.0
Yusmeiro Petit,Slider,-0.6779999999999999,2.55,R,1.0,0.0
Yusmeiro Petit,Slider,0.57,1.495,R,1.0,1.0
Yusmeiro Petit,4 Seam Fastball,-0.379,2.448,R,2.0,1.0
Yusmeiro Petit,Slider,0.611,1.545,R,0.0,0.0
Yusmeiro Petit,Curveball,1.345,1.7890000000000001,R,0.0,1.0
Yusmeiro Petit,Curveball,0.992,1.7630000000000001,R,0.0,2.0
Yusmeiro Petit,4 Seam Fastball,0.4,1.9669999999999999,R,0.0,0.0
Yusmeiro Petit,Curveball,0.377,3.324,R,0.0,1.0
Yusmeiro Petit,4 Seam Fastball,0.205,2.224,R,0.0,2.0
Yusmeiro Petit,Changeup,-1.4880000000000002,4.855,L,0.0,0.0
Yusmeiro Petit,Slider,0.11,-0.441,L,1.0,0.0
Yusmeiro Petit,4 Seam Fastball,-0.457,1.9069999999999998,L,2.0,0.0
Yusmeiro Petit,4 Seam Fastball,1.168,1.126,R,0.0,0.0
Yusmeiro Petit,Slider,-0.19899999999999998,4.218,R,1.0,0.0
Yusmeiro Petit,4 Seam Fastball,0.055,2.099,R,2.0,0.0
Joakim Soria,4 Seam Fastball,0.951,0.7759999999999999,R,0.0,0.0
Joakim Soria,Cutter,-0.301,3.137,R,1.0,0.0
Joakim Soria,4 Seam Fastball,0.995,1.6740000000000002,L,0.0,0.0
Joakim Soria,4 Seam Fastball,0.11800000000000001,1.3219999999999998,L,1.0,0.0
Joakim Soria,4 Seam Fastball,0.19899999999999998,2.5380000000000003,L,2.0,0.0
Joakim Soria,4 Seam Fastball,0.071,1.376,L,2.0,1.0
Joakim Soria,4 Seam Fastball,-0.723,2.158,L,2.0,2.0
Brett Anderson,2 Seam Fastball,1.23,4.0,R,0.0,0.0
Brett Anderson,2 Seam Fastball,1.42,3.51,R,1.0,0.0
Brett Anderson,4 Seam Fastball,0.6,3.88,R,2.0,0.0
Brett Anderson,4 Seam Fastball,0.25,3.21,R,3.0,0.0
Brett Anderson,2 Seam Fastball,-0.64,2.46,R,3.0,1.0
Brett Anderson,2 Seam Fastball,0.62,2.71,R,3.0,2.0
Brett Anderson,4 Seam Fastball,-0.05,1.67,R,3.0,2.0
Brett Anderson,4 Seam Fastball,-1.64,0.52,L,0.0,0.0
Brett Anderson,4 Seam Fastball,-1.35,2.62,L,1.0,0.0
Brett Anderson,4 Seam Fastball,-0.71,2.29,L,2.0,0.0
Brett Anderson,2 Seam Fastball,-0.52,1.41,L,2.0,1.0
Brett Anderson,Slider,-0.95,2.92,L,2.0,2.0
Brett Anderson,Slider,-1.32,1.37,L,2.0,2.0
Brett Anderson,2 Seam Fastball,0.23,1.11,R,0.0,0.0
Brett Anderson,2 Seam Fastball,0.19,2.37,R,1.0,0.0
Brett Anderson,Changeup,0.28,1.38,R,1.0,1.0
Brett Anderson,2 Seam Fastball,-0.91,1.19,R,0.0,0.0
Brett Anderson,2 Seam Fastball,0.39,3.19,R,1.0,0.0
Brett Anderson,2 Seam Fastball,-0.06,2.02,R,1.0,1.0
Brett Anderson,2 Seam Fastball,-0.43,0.6,R,0.0,0.0
Brett Anderson,2 Seam Fastball,0.5,2.62,R,1.0,0.0
Brett Anderson,2 Seam Fastball,1.37,2.27,R,0.0,0.0
