pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Kirby Yates,Changeup,0.27,3.013,L,0.0,0.0
Kirby Yates,4 Seam Fastball,-0.27399999999999997,2.543,L,0.0,1.0
Kirby Yates,4 Seam Fastball,-0.162,2.449,L,0.0,2.0
Kirby Yates,Slider,-0.89,3.125,R,0.0,0.0
Kirby Yates,Slider,1.986,1.9980000000000002,R,0.0,1.0
Kirby Yates,4 Seam Fastball,2.019,2.106,R,1.0,1.0
Kirby Yates,Slider,1.251,1.445,R,2.0,1.0
Kirby Yates,Slider,1.546,2.52,R,2.0,2.0
Kirby Yates,4 Seam Fastball,2.134,1.345,R,0.0,0.0
Kirby Yates,4 Seam Fastball,1.217,1.8019999999999998,R,1.0,0.0
Kirby Yates,Slider,0.5479999999999999,2.7939999999999996,R,1.0,1.0
Kirby Yates,4 Seam Fastball,-0.5920000000000001,3.0239999999999996,L,0.0,0.0
Kirby Yates,4 Seam Fastball,-0.662,3.023,L,0.0,1.0
Kirby Yates,4 Seam Fastball,1.053,2.171,L,0.0,2.0
Kirby Yates,Knuckle Curve,1.571,0.39399999999999996,L,1.0,2.0
Kirby Yates,Slider,1.085,1.9080000000000001,L,2.0,2.0
Kirby Yates,Slider,-0.491,2.512,L,2.0,2.0
Kirby Yates,4 Seam Fastball,-0.513,2.9189999999999996,L,2.0,2.0
Kirby Yates,4 Seam Fastball,1.22,2.3930000000000002,L,2.0,2.0
Kirby Yates,Slider,0.326,1.892,L,3.0,2.0
Kirby Yates,4 Seam Fastball,-0.737,3.365,L,3.0,2.0
Craig Stammen,Slider,-0.281,2.363,R,0.0,0.0
Craig Stammen,Slider,0.639,2.832,R,0.0,1.0
Craig Stammen,4 Seam Fastball,-0.285,3.4410000000000003,R,0.0,0.0
Craig Stammen,2 Seam Fastball,-0.307,2.912,R,0.0,1.0
Craig Stammen,2 Seam Fastball,-1.265,4.729,R,0.0,2.0
Craig Stammen,Slider,1.097,1.266,R,1.0,2.0
Craig Stammen,2 Seam Fastball,0.5529999999999999,2.254,R,2.0,2.0
Craig Stammen,2 Seam Fastball,-0.812,3.9610000000000003,L,0.0,0.0
Craig Stammen,2 Seam Fastball,-1.013,1.857,L,1.0,0.0
Craig Stammen,Slider,0.115,1.5119999999999998,L,1.0,1.0
Craig Stammen,Slider,0.8340000000000001,1.41,L,1.0,2.0
Craig Stammen,Slider,0.253,1.273,L,2.0,2.0
Craig Stammen,Slider,0.3720000000000001,1.571,L,3.0,2.0
Craig Stammen,2 Seam Fastball,-2.03,1.554,L,3.0,2.0
Craig Stammen,Slider,0.006,2.9960000000000004,R,0.0,0.0
Craig Stammen,2 Seam Fastball,-0.13699999999999998,2.2230000000000003,R,0.0,1.0
Craig Stammen,Slider,0.6809999999999999,1.683,R,0.0,2.0
Craig Stammen,Slider,1.3519999999999999,1.558,R,1.0,2.0
Craig Stammen,Slider,0.392,1.568,R,2.0,2.0
Kirby Yates,Slider,0.34,2.05,R,0.0,0.0
Kirby Yates,Slider,0.66,3.53,R,0.0,1.0
Kirby Yates,4 Seam Fastball,0.96,2.36,R,1.0,1.0
Kirby Yates,Knuckle Curve,-2.01,4.13,R,1.0,2.0
Kirby Yates,Slider,0.43,2.79,R,2.0,2.0
Kirby Yates,4 Seam Fastball,-0.77,1.58,L,0.0,0.0
Kirby Yates,4 Seam Fastball,0.47,1.66,L,0.0,1.0
Kirby Yates,Knuckle Curve,-2.15,3.85,L,0.0,2.0
Kirby Yates,Changeup,-1.64,2.67,L,1.0,2.0
Kirby Yates,4 Seam Fastball,-0.02,1.73,L,2.0,2.0
Kirby Yates,4 Seam Fastball,1.09,2.18,R,0.0,0.0
Kirby Yates,4 Seam Fastball,1.13,2.11,R,0.0,1.0
Kirby Yates,Slider,2.31,1.72,R,0.0,2.0
Kirby Yates,4 Seam Fastball,2.15,2.01,R,1.0,2.0
Kirby Yates,4 Seam Fastball,0.88,2.22,R,2.0,2.0
Kirby Yates,Slider,2.29,1.93,R,0.0,0.0
Kirby Yates,Slider,0.58,3.13,R,1.0,0.0
Kirby Yates,Slider,0.46,1.78,R,1.0,1.0
Craig Stammen,2 Seam Fastball,-0.594,2.7430000000000003,L,0.0,0.0
Craig Stammen,2 Seam Fastball,-1.413,3.179,L,0.0,0.0
Craig Stammen,Knuckle Curve,-1.3130000000000002,2.72,L,0.0,1.0
Craig Stammen,Slider,-0.46,1.913,R,0.0,0.0
Craig Stammen,Slider,0.626,1.484,R,0.0,1.0
Craig Stammen,Slider,0.662,-0.324,R,0.0,2.0
Craig Stammen,Slider,0.35200000000000004,2.213,R,1.0,2.0
Craig Stammen,Slider,0.5589999999999999,1.341,R,0.0,0.0
Craig Stammen,2 Seam Fastball,-0.043,3.483,R,1.0,0.0
Craig Stammen,Slider,-0.149,1.6569999999999998,R,1.0,1.0
Craig Stammen,Slider,0.5710000000000001,1.902,R,1.0,2.0
Craig Stammen,Knuckle Curve,0.39,2.698,L,0.0,0.0
Craig Stammen,Slider,0.10800000000000001,2.502,L,0.0,1.0
Craig Stammen,2 Seam Fastball,-0.067,3.648,L,0.0,2.0
Craig Stammen,2 Seam Fastball,-0.091,3.7939999999999996,L,1.0,2.0
Craig Stammen,Knuckle Curve,-0.441,2.332,L,0.0,0.0
Craig Stammen,Slider,0.099,1.412,L,0.0,1.0
Craig Stammen,2 Seam Fastball,1.557,2.1919999999999997,L,0.0,2.0
Craig Stammen,Knuckle Curve,0.505,-0.759,L,1.0,2.0
Craig Stammen,Knuckle Curve,1.079,1.909,L,0.0,0.0
Craig Stammen,Knuckle Curve,-0.675,2.779,L,1.0,0.0
Craig Stammen,Slider,1.067,1.525,L,1.0,1.0
Craig Stammen,4 Seam Fastball,1.171,3.2969999999999997,L,1.0,2.0
Craig Stammen,Knuckle Curve,1.195,1.375,L,2.0,2.0
Craig Stammen,Slider,0.121,1.886,L,3.0,2.0
Kirby Yates,Slider,1.306,2.785,R,0.0,0.0
Kirby Yates,Slider,-0.917,3.988,R,1.0,0.0
Kirby Yates,Slider,0.564,2.4530000000000003,R,2.0,0.0
Kirby Yates,Changeup,0.716,0.992,R,0.0,0.0
Kirby Yates,Changeup,-0.142,2.303,R,0.0,1.0
Kirby Yates,4 Seam Fastball,-0.716,3.1010000000000004,L,0.0,0.0
Kirby Yates,4 Seam Fastball,-0.188,2.7089999999999996,L,0.0,1.0
Kirby Yates,4 Seam Fastball,-1.246,2.753,L,0.0,2.0
Craig Stammen,Slider,0.442,1.109,R,0.0,0.0
Craig Stammen,2 Seam Fastball,-1.38,2.708,R,0.0,1.0
Craig Stammen,2 Seam Fastball,-0.575,1.865,R,0.0,2.0
