,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
314,Felix Hernandez,Changeup,-0.02,1.75,L,0.0,0.0
315,Felix Hernandez,Curveball,0.22,1.77,L,0.0,1.0
316,Felix Hernandez,Sinker,-0.38,1.94,L,0.0,2.0
317,Felix Hernandez,Sinker,-1.2,1.5,R,0.0,0.0
318,Felix Hernandez,4 Seam Fastball,-0.63,3.31,R,0.0,1.0
319,Felix Hernandez,Sinker,-1.55,3.19,R,0.0,2.0
320,Felix Hernandez,Sinker,0.44,2.84,R,1.0,2.0
321,Felix Hernandez,Sinker,-0.52,2.33,R,1.0,2.0
322,Felix Hernandez,Sinker,-0.69,2.17,R,1.0,2.0
323,Felix Hernandez,Changeup,0.16,-0.46,R,1.0,2.0
324,Felix Hernandez,Sinker,0.25,2.57,R,2.0,2.0
325,Felix Hernandez,Changeup,-0.42,0.55,R,0.0,0.0
326,Felix Hernandez,Sinker,0.59,1.78,R,1.0,0.0
327,Felix Hernandez,Changeup,-0.38,0.86,R,1.0,1.0
328,Felix Hernandez,Sinker,-0.15,1.73,R,2.0,1.0
329,Felix Hernandez,Slider,1.05,0.77,R,2.0,2.0
330,Felix Hernandez,Changeup,-0.06,0.52,R,2.0,2.0
331,Felix Hernandez,Sinker,0.14,1.59,R,2.0,2.0
332,Felix Hernandez,Sinker,-0.67,1.4,L,0.0,0.0
333,Felix Hernandez,Curveball,0.34,2.64,L,0.0,1.0
334,Felix Hernandez,Changeup,-0.13,1.28,L,0.0,2.0
355,Felix Hernandez,Changeup,-1.58,3.7,R,0.0,0.0
356,Felix Hernandez,Changeup,-0.57,2.31,R,1.0,0.0
357,Felix Hernandez,Changeup,0.02,0.43,R,1.0,1.0
358,Felix Hernandez,Changeup,-1.46,3.29,R,2.0,1.0
359,Felix Hernandez,4 Seam Fastball,-1.12,2.44,R,2.0,2.0
360,Felix Hernandez,Sinker,-1.14,4.02,L,0.0,0.0
361,Felix Hernandez,Changeup,-0.37,2.19,L,1.0,0.0
362,Felix Hernandez,Sinker,-1.19,2.47,R,0.0,0.0
363,Felix Hernandez,Changeup,-0.36,0.59,R,1.0,0.0
364,Felix Hernandez,Sinker,0.97,2.52,R,2.0,0.0
365,Felix Hernandez,Curveball,-0.08,2.2,R,2.0,1.0
372,Felix Hernandez,Slider,-0.33,2.35,R,0.0,0.0
373,Felix Hernandez,Changeup,1.24,1.8,R,0.0,1.0
374,Felix Hernandez,Changeup,0.23,-0.43,R,1.0,1.0
375,Felix Hernandez,Changeup,-1.23,3.06,R,2.0,1.0
376,Felix Hernandez,Changeup,-1.68,3.5,R,0.0,0.0
377,Felix Hernandez,Changeup,-0.54,2.42,R,1.0,0.0
378,Felix Hernandez,Curveball,0.87,1.01,L,0.0,0.0
379,Felix Hernandez,Curveball,-0.68,3.15,L,1.0,0.0
380,Felix Hernandez,Changeup,0.47,2.45,L,1.0,1.0
381,Felix Hernandez,4 Seam Fastball,0.35,3.38,L,1.0,2.0
403,Felix Hernandez,Slider,0.89,2.28,R,0.0,0.0
404,Felix Hernandez,Changeup,-1.41,2.25,R,0.0,1.0
405,Felix Hernandez,Changeup,-0.29,1.57,R,0.0,2.0
406,Felix Hernandez,Changeup,0.44,0.03,R,0.0,2.0
407,Felix Hernandez,4 Seam Fastball,0.37,5.78,R,1.0,2.0
408,Felix Hernandez,Changeup,0.15,0.43,R,2.0,2.0
409,Felix Hernandez,Sinker,1.41,1.36,R,0.0,0.0
410,Felix Hernandez,Changeup,0.06,1.32,R,1.0,0.0
411,Felix Hernandez,Sinker,0.59,1.82,R,2.0,0.0
412,Felix Hernandez,Curveball,0.88,1.47,R,2.0,1.0
413,Felix Hernandez,Changeup,-0.16,0.54,R,2.0,2.0
414,Felix Hernandez,Curveball,1.61,1.5,R,3.0,2.0
415,Felix Hernandez,Curveball,0.34,1.51,R,3.0,2.0
416,Felix Hernandez,Changeup,0.57,-0.35,R,3.0,2.0
417,Felix Hernandez,Changeup,-1.66,2.17,L,0.0,0.0
418,Felix Hernandez,Changeup,-0.41,1.85,L,1.0,0.0
419,Felix Hernandez,Slider,1.18,1.21,R,0.0,0.0
420,Felix Hernandez,Sinker,-0.63,1.5,R,0.0,1.0
421,Felix Hernandez,Changeup,0.4,0.21,R,0.0,2.0
434,Felix Hernandez,Curveball,-0.91,3.14,L,0.0,0.0
435,Felix Hernandez,Curveball,0.95,2.2,L,1.0,0.0
436,Felix Hernandez,Changeup,-1.47,2.0,L,2.0,0.0
437,Felix Hernandez,Slider,0.03,2.78,L,2.0,1.0
438,Felix Hernandez,Slider,-1.21,2.74,R,0.0,0.0
439,Felix Hernandez,Changeup,-2.5,3.59,R,1.0,0.0
440,Felix Hernandez,Changeup,-0.06,1.8,R,0.0,0.0
441,Felix Hernandez,Changeup,-0.02,2.8,R,0.0,1.0
442,Felix Hernandez,Changeup,1.02,-0.84,R,0.0,2.0
443,Felix Hernandez,Changeup,-0.64,1.22,R,1.0,2.0
444,Felix Hernandez,Sinker,0.2,2.19,R,2.0,2.0
445,Felix Hernandez,Curveball,1.01,1.37,R,2.0,2.0
446,Felix Hernandez,Sinker,-0.34,2.14,R,0.0,0.0
470,Felix Hernandez,Changeup,-1.1,2.67,L,0.0,0.0
471,Felix Hernandez,Sinker,-0.39,1.44,L,0.0,1.0
472,Felix Hernandez,Curveball,0.14,0.84,L,0.0,2.0
473,Felix Hernandez,Curveball,-0.85,1.28,L,1.0,2.0
474,Felix Hernandez,Curveball,-1.0,3.21,R,0.0,0.0
475,Felix Hernandez,Changeup,-1.56,2.34,R,1.0,0.0
476,Felix Hernandez,Curveball,-0.19,1.32,R,1.0,1.0
477,Felix Hernandez,Sinker,-0.88,3.34,R,1.0,2.0
478,Felix Hernandez,Curveball,1.33,1.53,R,0.0,0.0
479,Felix Hernandez,Sinker,-0.14,1.5,R,1.0,0.0
480,Felix Hernandez,Sinker,-1.84,2.06,R,1.0,1.0
481,Felix Hernandez,Sinker,-0.03,3.08,R,2.0,1.0
482,Felix Hernandez,4 Seam Fastball,-0.03,3.86,R,2.0,2.0
491,Felix Hernandez,Curveball,-0.14,2.5,L,0.0,0.0
492,Felix Hernandez,Changeup,-0.99,2.12,L,0.0,1.0
493,Felix Hernandez,Changeup,-0.74,0.55,L,0.0,2.0
494,Felix Hernandez,Sinker,-1.09,3.93,L,1.0,2.0
495,Felix Hernandez,Sinker,-0.04,2.52,R,0.0,0.0
496,Felix Hernandez,Changeup,-1.06,3.71,L,0.0,0.0
497,Felix Hernandez,Sinker,-0.19,2.28,L,1.0,0.0
498,Felix Hernandez,Curveball,0.91,1.42,L,1.0,1.0
499,Felix Hernandez,Sinker,-1.61,2.82,L,1.0,2.0
500,Felix Hernandez,Sinker,-0.88,2.07,L,2.0,2.0
3607,Anthony Bass,Cutter,-0.389,3.09,L,0.0,0.0
3608,Anthony Bass,Cutter,0.542,2.029,L,0.0,1.0
3609,Anthony Bass,Cutter,-0.551,2.925,L,1.0,1.0
3610,Anthony Bass,Cutter,0.882,3.451,L,1.0,2.0
3611,Anthony Bass,Cutter,0.22,2.486,R,0.0,0.0
3612,Anthony Bass,Changeup,0.503,-0.504,L,0.0,0.0
3613,Anthony Bass,Cutter,-1.466,1.887,L,1.0,0.0
3614,Anthony Bass,Cutter,-1.336,3.1630000000000003,L,2.0,0.0
3615,Anthony Bass,Cutter,-0.45,3.274,L,3.0,0.0
3616,Anthony Bass,Cutter,0.476,2.465,L,3.0,1.0
