pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Jeff Samardzija,4 Seam Fastball,0.431,2.18,R,0.0,0.0
Jeff Samardzija,4 Seam Fastball,0.37799999999999995,3.175,R,0.0,1.0
Jeff Samardzija,Slider,-0.034,2.556,R,0.0,2.0
Jeff Samardzija,Cutter,0.56,2.647,L,0.0,0.0
Jeff Samardzija,4 Seam Fastball,0.02,4.408,L,0.0,1.0
Jeff Samardzija,Slider,0.12,2.623,L,1.0,1.0
Jeff Samardzija,4 Seam Fastball,0.88,3.5189999999999997,L,1.0,2.0
Jeff Samardzija,4 Seam Fastball,0.6890000000000001,3.931,L,1.0,2.0
Jeff Samardzija,Splitter,1.41,0.188,L,1.0,2.0
Jeff Samardzija,Splitter,-0.348,2.197,L,2.0,2.0
Jeff Samardzija,4 Seam Fastball,1.2990000000000002,1.761,R,0.0,0.0
Jeff Samardzija,Slider,-0.654,2.398,R,1.0,0.0
Jeff Samardzija,4 Seam Fastball,1.5959999999999999,3.803,L,0.0,0.0
Jeff Samardzija,Slider,-1.641,3.565,L,1.0,0.0
Jeff Samardzija,4 Seam Fastball,-0.995,3.1010000000000004,L,2.0,0.0
Jeff Samardzija,Slider,-0.107,3.4930000000000003,L,2.0,1.0
Jeff Samardzija,4 Seam Fastball,0.873,2.306,L,2.0,2.0
Jeff Samardzija,4 Seam Fastball,-0.21899999999999997,3.178,L,0.0,0.0
Jeff Samardzija,4 Seam Fastball,1.214,3.185,L,0.0,1.0
Jeff Samardzija,Slider,-0.9470000000000001,1.944,L,1.0,1.0
Jeff Samardzija,4 Seam Fastball,0.81,1.246,L,1.0,2.0
Jeff Samardzija,Splitter,-0.345,4.04,L,2.0,2.0
Jeff Samardzija,Splitter,1.7819999999999998,0.259,L,2.0,2.0
Jeff Samardzija,4 Seam Fastball,0.22,2.573,L,3.0,2.0
Jeff Samardzija,2 Seam Fastball,-1.851,2.755,L,3.0,2.0
Jeff Samardzija,4 Seam Fastball,0.46799999999999997,2.0340000000000003,L,0.0,0.0
Jeff Samardzija,4 Seam Fastball,2.241,2.287,L,0.0,1.0
