pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Adam Wainwright,Sinker,-1.585,1.72,L,0.0,0.0
Adam Wainwright,Cutter,0.008,2.602,L,1.0,0.0
Adam Wainwright,4 Seam Fastball,0.015,2.287,R,0.0,0.0
Adam Wainwright,Curveball,1.703,0.22,R,0.0,1.0
Adam Wainwright,Cutter,0.687,1.97,R,1.0,1.0
Adam Wainwright,Cutter,0.7879999999999999,1.808,R,1.0,2.0
Adam Wainwright,Curveball,0.807,-0.489,L,0.0,0.0
Adam Wainwright,Cutter,-0.17,3.196,L,1.0,0.0
Adam Wainwright,4 Seam Fastball,0.815,2.319,L,1.0,1.0
Adam Wainwright,Curveball,0.937,-0.95,L,1.0,2.0
Adam Wainwright,Cutter,-1.227,1.8719999999999999,L,2.0,2.0
Adam Wainwright,Cutter,1.2570000000000001,0.52,R,0.0,0.0
Adam Wainwright,Curveball,0.677,0.9009999999999999,R,1.0,0.0
Adam Wainwright,4 Seam Fastball,0.34600000000000003,2.334,R,2.0,0.0
Adam Wainwright,Cutter,0.2,2.215,R,2.0,1.0
Adam Wainwright,Cutter,0.583,3.549,L,0.0,0.0
Adam Wainwright,4 Seam Fastball,-1.193,2.679,L,1.0,0.0
Adam Wainwright,Cutter,-0.22,2.0780000000000003,L,2.0,0.0
Adam Wainwright,Sinker,-0.8690000000000001,0.48,R,0.0,0.0
Adam Wainwright,Cutter,0.071,1.899,R,1.0,0.0
Adam Wainwright,4 Seam Fastball,-0.652,3.016,R,1.0,1.0
Adam Wainwright,Curveball,1.62,-1.66,R,1.0,2.0
Adam Wainwright,Cutter,-1.574,2.154,R,2.0,2.0
Adam Wainwright,4 Seam Fastball,0.031,2.166,R,3.0,2.0
Adam Wainwright,Curveball,1.578,0.8290000000000001,R,3.0,2.0
Adam Wainwright,Cutter,0.865,2.673,R,0.0,0.0
Adam Wainwright,4 Seam Fastball,0.48700000000000004,2.332,R,0.0,1.0
Adam Wainwright,Cutter,0.38,2.801,L,0.0,0.0
Adam Wainwright,Cutter,-0.126,3.072,L,0.0,1.0
Adam Wainwright,4 Seam Fastball,-0.317,2.7710000000000004,L,0.0,2.0
Adam Wainwright,4 Seam Fastball,-0.951,3.113,L,0.0,0.0
Adam Wainwright,Cutter,1.099,1.567,L,1.0,0.0
Adam Wainwright,4 Seam Fastball,0.086,1.8880000000000001,L,2.0,0.0
Adam Wainwright,Cutter,0.83,2.09,L,2.0,1.0
Adam Wainwright,Curveball,0.919,-0.02,L,2.0,2.0
Adam Wainwright,4 Seam Fastball,-0.027000000000000003,3.449,L,3.0,2.0
Adam Wainwright,Cutter,0.271,2.7460000000000004,L,3.0,2.0
Adam Wainwright,Cutter,0.35,3.234,L,0.0,0.0
Adam Wainwright,Curveball,-0.594,1.5659999999999998,L,0.0,1.0
Adam Wainwright,Cutter,0.11199999999999999,3.1439999999999997,L,1.0,1.0
Adam Wainwright,Curveball,-0.21899999999999997,0.348,L,1.0,2.0
Adam Wainwright,Curveball,-0.342,1.056,L,2.0,2.0
Adam Wainwright,4 Seam Fastball,0.255,3.1660000000000004,L,3.0,2.0
Adam Wainwright,Curveball,0.941,1.4409999999999998,R,0.0,0.0
Adam Wainwright,Curveball,0.7440000000000001,0.732,R,0.0,1.0
Adam Wainwright,Cutter,0.9490000000000001,2.591,R,1.0,1.0
Adam Wainwright,Curveball,1.19,2.71,R,1.0,2.0
Adam Wainwright,Curveball,0.516,1.757,R,2.0,2.0
Adam Wainwright,Cutter,0.746,3.8280000000000003,R,2.0,2.0
Adam Wainwright,Cutter,1.6119999999999999,1.909,R,3.0,2.0
Adam Wainwright,Curveball,0.326,0.7170000000000001,L,0.0,0.0
Adam Wainwright,Curveball,-0.062,2.905,L,1.0,0.0
Adam Wainwright,Sinker,-1.238,2.628,L,1.0,1.0
Adam Wainwright,Changeup,-0.95,0.8240000000000001,L,2.0,1.0
Adam Wainwright,Curveball,-0.608,1.926,L,3.0,1.0
Adam Wainwright,Curveball,0.45899999999999996,1.389,L,3.0,2.0
Adam Wainwright,Cutter,0.8320000000000001,2.752,R,0.0,0.0
Adam Wainwright,Curveball,0.33399999999999996,0.5379999999999999,L,0.0,0.0
Adam Wainwright,4 Seam Fastball,-0.083,2.54,L,1.0,0.0
Adam Wainwright,4 Seam Fastball,0.626,1.7069999999999999,R,0.0,0.0
Adam Wainwright,Cutter,-1.095,2.376,R,0.0,1.0
Adam Wainwright,Curveball,0.978,0.22399999999999998,R,1.0,1.0
Adam Wainwright,4 Seam Fastball,-0.113,1.3530000000000002,R,2.0,1.0
Adam Wainwright,4 Seam Fastball,0.073,2.471,R,3.0,1.0
Adam Wainwright,Cutter,0.336,2.492,R,3.0,2.0
Adam Wainwright,Cutter,0.431,3.1430000000000002,R,0.0,0.0
Adam Wainwright,Cutter,0.6970000000000001,2.392,R,0.0,1.0
Adam Wainwright,4 Seam Fastball,0.429,3.1639999999999997,R,0.0,2.0
Adam Wainwright,Curveball,0.7829999999999999,1.5090000000000001,R,0.0,2.0
Adam Wainwright,Cutter,0.379,4.637,R,1.0,2.0
Adam Wainwright,Cutter,0.4,2.7119999999999997,R,2.0,2.0
Adam Wainwright,Cutter,-0.6679999999999999,4.388,L,0.0,0.0
Adam Wainwright,4 Seam Fastball,0.503,1.7530000000000001,L,1.0,0.0
Adam Wainwright,Cutter,1.0170000000000001,2.364,L,0.0,0.0
Adam Wainwright,Cutter,1.351,1.7590000000000001,L,1.0,0.0
Adam Wainwright,Cutter,-1.405,2.79,L,2.0,0.0
Adam Wainwright,Cutter,0.125,2.428,L,3.0,0.0
Adam Wainwright,4 Seam Fastball,0.693,1.8230000000000002,L,3.0,1.0
Adam Wainwright,4 Seam Fastball,0.395,2.862,L,3.0,2.0
Adam Wainwright,Curveball,-0.596,2.909,L,0.0,0.0
Adam Wainwright,Cutter,1.304,2.151,L,0.0,1.0
Adam Wainwright,Cutter,0.503,3.483,L,1.0,1.0
Adam Wainwright,Curveball,0.40299999999999997,1.709,L,1.0,2.0
Adam Wainwright,Cutter,-1.6,1.989,R,0.0,0.0
Adam Wainwright,Cutter,1.0979999999999999,1.7530000000000001,R,1.0,0.0
Adam Wainwright,Cutter,-0.32299999999999995,4.504,R,2.0,0.0
Adam Wainwright,Cutter,-0.217,2.252,R,3.0,0.0
Adam Wainwright,4 Seam Fastball,0.156,2.793,R,3.0,1.0
Adam Wainwright,4 Seam Fastball,-0.162,2.211,R,3.0,2.0
Adam Wainwright,Cutter,-0.28,2.707,R,3.0,2.0
Adam Wainwright,Sinker,-1.474,3.202,L,0.0,0.0
Adam Wainwright,Changeup,-1.564,3.062,L,1.0,0.0
Adam Wainwright,Cutter,-0.172,1.906,L,2.0,0.0
Adam Wainwright,Cutter,0.637,2.7,L,2.0,1.0
Adam Wainwright,Curveball,0.466,2.09,R,0.0,0.0
Adam Wainwright,Cutter,0.6559999999999999,3.272,R,0.0,1.0
Adam Wainwright,Curveball,1.7280000000000002,1.531,R,0.0,2.0
Adam Wainwright,4 Seam Fastball,0.281,2.2,R,1.0,2.0
Adam Wainwright,Cutter,0.319,2.9210000000000003,L,0.0,0.0
Adam Wainwright,Curveball,-1.298,0.716,L,0.0,1.0
Adam Wainwright,Cutter,0.141,2.832,L,1.0,1.0
Andrew Miller,4 Seam Fastball,0.39399999999999996,1.883,R,0.0,0.0
Andrew Miller,4 Seam Fastball,0.28800000000000003,1.8519999999999999,R,0.0,1.0
Andrew Miller,4 Seam Fastball,1.2919999999999998,1.8259999999999998,R,0.0,2.0
Andrew Miller,Slider,-0.449,2.178,R,1.0,2.0
Andrew Miller,Slider,-0.193,2.6689999999999996,R,0.0,0.0
Andrew Miller,Slider,0.057999999999999996,1.854,R,0.0,1.0
Andrew Miller,4 Seam Fastball,1.9569999999999999,1.4609999999999999,R,0.0,2.0
Andrew Miller,Slider,-0.11800000000000001,1.376,R,1.0,2.0
Andrew Miller,Slider,-0.853,1.2890000000000001,R,1.0,2.0
Andrew Miller,4 Seam Fastball,0.759,2.23,R,1.0,2.0
Andrew Miller,Slider,0.009000000000000001,2.134,R,0.0,0.0
Andrew Miller,4 Seam Fastball,-0.419,2.1919999999999997,R,0.0,0.0
Andrew Miller,4 Seam Fastball,0.759,3.6060000000000003,R,0.0,1.0
Andrew Miller,Slider,1.4280000000000002,1.7690000000000001,R,1.0,1.0
Andrew Miller,Slider,-0.446,2.351,R,2.0,1.0
Andrew Miller,Slider,1.082,1.744,R,0.0,0.0
Andrew Miller,Slider,0.73,1.805,R,1.0,0.0
Andrew Miller,4 Seam Fastball,0.49,1.98,R,1.0,1.0
Andrew Miller,4 Seam Fastball,-0.094,3.7,R,1.0,2.0
Andrew Miller,4 Seam Fastball,1.3869999999999998,1.92,R,0.0,0.0
Andrew Miller,4 Seam Fastball,0.4270000000000001,3.216,R,1.0,0.0
Andrew Miller,4 Seam Fastball,1.088,2.66,R,2.0,0.0
Andrew Miller,4 Seam Fastball,-0.34299999999999997,1.631,R,3.0,0.0
