pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Oliver Drake,4 Seam Fastball,-1.194,1.525,R,0.0,0.0
Oliver Drake,4 Seam Fastball,-0.845,1.921,R,1.0,0.0
Oliver Drake,4 Seam Fastball,-0.182,2.1790000000000003,R,2.0,0.0
Oliver Drake,Splitter,-0.017,1.9509999999999998,L,0.0,0.0
Oliver Drake,Splitter,-1.389,2.381,L,0.0,1.0
Oliver Drake,4 Seam Fastball,-0.247,1.202,R,0.0,0.0
Oliver Drake,Splitter,0.5589999999999999,1.7280000000000002,R,0.0,1.0
Oliver Drake,Splitter,-0.5529999999999999,1.993,R,0.0,2.0
Oliver Drake,Splitter,1.052,3.77,L,0.0,0.0
Oliver Drake,Splitter,-0.024,2.28,L,1.0,0.0
Oliver Drake,Splitter,0.345,2.385,L,1.0,1.0
Oliver Drake,4 Seam Fastball,-0.251,2.9419999999999997,L,1.0,2.0
Oliver Drake,Slider,1.214,3.5810000000000004,R,0.0,0.0
Oliver Drake,Splitter,-1.145,0.893,R,1.0,0.0
Oliver Drake,Splitter,0.125,2.194,R,1.0,1.0
Oliver Drake,4 Seam Fastball,0.04,0.87,R,1.0,2.0
Oliver Drake,Splitter,0.158,2.246,R,2.0,2.0
Oliver Drake,4 Seam Fastball,-0.251,0.611,R,0.0,0.0
Oliver Drake,4 Seam Fastball,-1.6280000000000001,2.289,R,1.0,0.0
Oliver Drake,Splitter,-0.163,1.4509999999999998,R,2.0,0.0
Oliver Drake,Splitter,-0.002,1.784,R,2.0,1.0
Oliver Drake,Splitter,0.049,1.115,R,2.0,2.0
Oliver Drake,4 Seam Fastball,1.6580000000000001,2.001,L,0.0,0.0
Oliver Drake,Splitter,0.18100000000000002,1.237,L,1.0,0.0
Oliver Drake,4 Seam Fastball,1.057,2.617,L,1.0,1.0
Oliver Drake,Splitter,0.10099999999999999,3.091,R,0.0,0.0
Oliver Drake,4 Seam Fastball,0.149,1.314,R,0.0,1.0
Oliver Drake,Splitter,0.055999999999999994,2.27,R,1.0,1.0
Oliver Drake,Splitter,0.519,-0.341,R,1.0,2.0
Oliver Drake,4 Seam Fastball,0.648,2.463,R,0.0,0.0
Oliver Drake,4 Seam Fastball,0.40700000000000003,3.967,R,0.0,0.0
Oliver Drake,Splitter,-0.332,3.264,R,1.0,0.0
Oliver Drake,4 Seam Fastball,0.535,1.719,R,1.0,1.0
Oliver Drake,Splitter,-0.578,1.139,R,1.0,2.0
Oliver Drake,4 Seam Fastball,0.532,1.588,R,0.0,0.0
Oliver Drake,Slider,-0.135,3.7969999999999997,R,0.0,1.0
Oliver Drake,Splitter,-0.185,2.068,R,1.0,1.0
Oliver Drake,4 Seam Fastball,-0.382,1.8719999999999999,R,0.0,0.0
