pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Shawn Kelley,Slider,0.754,2.1590000000000003,R,0.0,0.0
Shawn Kelley,Slider,-0.41,2.801,L,0.0,0.0
Shawn Kelley,4 Seam Fastball,-1.8019999999999998,4.263,L,0.0,1.0
Shawn Kelley,Slider,0.758,2.0709999999999997,L,1.0,1.0
Shawn Kelley,4 Seam Fastball,-1.405,3.4189999999999996,L,2.0,1.0
Shawn Kelley,4 Seam Fastball,0.813,2.938,L,3.0,1.0
Shawn Kelley,4 Seam Fastball,-0.153,3.0610000000000004,R,0.0,0.0
Shawn Kelley,4 Seam Fastball,-0.86,1.245,L,0.0,0.0
Shawn Kelley,4 Seam Fastball,-0.332,2.11,L,1.0,0.0
Shawn Kelley,Slider,-0.466,0.524,L,1.0,1.0
Shawn Kelley,4 Seam Fastball,0.371,1.099,L,2.0,1.0
Shawn Kelley,4 Seam Fastball,0.271,1.6480000000000001,L,3.0,1.0
Shawn Kelley,Slider,-0.395,0.7909999999999999,L,3.0,2.0
Shawn Kelley,Slider,0.002,1.699,L,0.0,0.0
Shawn Kelley,4 Seam Fastball,-0.535,3.511,L,0.0,1.0
Shawn Kelley,Slider,0.746,-0.244,L,0.0,2.0
Shawn Kelley,Slider,0.524,0.941,L,1.0,2.0
Shawn Kelley,Slider,-0.039,0.607,L,2.0,2.0
Shawn Kelley,Slider,0.129,1.653,L,3.0,2.0
Shawn Kelley,Slider,0.836,2.076,L,3.0,2.0
Shawn Kelley,4 Seam Fastball,0.41,2.134,L,3.0,2.0
Shawn Kelley,4 Seam Fastball,0.345,2.687,R,0.0,0.0
Shawn Kelley,4 Seam Fastball,-0.004,3.383,R,0.0,1.0
Shawn Kelley,Slider,0.319,1.17,R,0.0,2.0
Shawn Kelley,Slider,1.482,2.431,R,1.0,2.0
Shawn Kelley,4 Seam Fastball,-0.03,2.161,R,2.0,2.0
Shawn Kelley,4 Seam Fastball,-0.483,4.294,R,2.0,2.0
Shawn Kelley,4 Seam Fastball,0.342,3.3360000000000003,R,3.0,2.0
