pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Clay Buchholz,4 Seam Fastball,0.07,1.8730000000000002,L,0.0,0.0
Clay Buchholz,2 Seam Fastball,-1.215,3.1519999999999997,L,0.0,1.0
Clay Buchholz,Cutter,0.575,1.775,L,1.0,1.0
Clay Buchholz,2 Seam Fastball,-1.291,1.921,L,0.0,0.0
Clay Buchholz,Curveball,-0.07200000000000001,1.04,L,0.0,1.0
Clay Buchholz,Curveball,-0.22699999999999998,0.057999999999999996,L,0.0,2.0
Clay Buchholz,Curveball,-0.231,1.182,L,1.0,2.0
Clay Buchholz,2 Seam Fastball,-0.778,0.747,L,0.0,0.0
Clay Buchholz,2 Seam Fastball,-0.6609999999999999,2.588,L,1.0,0.0
Clay Buchholz,2 Seam Fastball,-0.7170000000000001,1.8519999999999999,L,0.0,0.0
Clay Buchholz,2 Seam Fastball,0.777,1.555,R,0.0,0.0
Clay Buchholz,2 Seam Fastball,-0.7909999999999999,2.075,R,1.0,0.0
Clay Buchholz,Cutter,-0.29600000000000004,1.791,R,1.0,1.0
Clay Buchholz,Changeup,-0.652,1.203,R,1.0,2.0
Clay Buchholz,2 Seam Fastball,-0.043,1.5390000000000001,L,0.0,0.0
Clay Buchholz,2 Seam Fastball,-1.439,2.577,L,0.0,1.0
Clay Buchholz,Changeup,-1.101,1.52,L,0.0,2.0
Clay Buchholz,2 Seam Fastball,-0.386,0.4,L,0.0,0.0
Clay Buchholz,Curveball,-0.935,2.0580000000000003,L,1.0,0.0
Clay Buchholz,2 Seam Fastball,-0.7979999999999999,1.396,L,1.0,1.0
Clay Buchholz,Changeup,-0.995,2.833,L,1.0,2.0
Clay Buchholz,Curveball,0.37,0.654,L,1.0,2.0
Clay Buchholz,Changeup,-0.89,3.988,L,2.0,2.0
Clay Buchholz,2 Seam Fastball,0.223,1.087,L,3.0,2.0
Clay Buchholz,Curveball,-0.733,2.292,L,3.0,2.0
Clay Buchholz,2 Seam Fastball,-0.24,1.6480000000000001,L,0.0,0.0
