pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Max Scherzer,4 Seam Fastball,-1.598,1.869,L,0.0,0.0
Max Scherzer,4 Seam Fastball,-0.909,2.487,L,0.0,1.0
Max Scherzer,4 Seam Fastball,-1.585,2.9339999999999997,L,0.0,2.0
Max Scherzer,Changeup,0.364,0.245,L,1.0,2.0
Max Scherzer,4 Seam Fastball,-1.9269999999999998,4.25,L,2.0,2.0
Max Scherzer,Changeup,-0.7959999999999999,2.408,L,3.0,2.0
Max Scherzer,4 Seam Fastball,0.001,2.783,L,3.0,2.0
Max Scherzer,4 Seam Fastball,-1.3969999999999998,3.2039999999999997,L,3.0,2.0
Max Scherzer,4 Seam Fastball,0.861,2.9960000000000004,R,0.0,0.0
Max Scherzer,4 Seam Fastball,-0.36,2.826,R,1.0,0.0
Max Scherzer,Slider,0.136,2.083,R,1.0,1.0
Max Scherzer,Slider,0.067,1.911,R,1.0,2.0
Max Scherzer,4 Seam Fastball,-0.7020000000000001,3.622,L,0.0,0.0
Max Scherzer,4 Seam Fastball,-0.28300000000000003,3.8280000000000003,L,0.0,1.0
Max Scherzer,Changeup,-0.922,0.063,L,0.0,2.0
Max Scherzer,4 Seam Fastball,-0.539,3.156,L,1.0,2.0
Max Scherzer,4 Seam Fastball,0.22,2.748,R,0.0,0.0
Max Scherzer,4 Seam Fastball,1.032,1.7730000000000001,R,0.0,1.0
Max Scherzer,4 Seam Fastball,-1.0270000000000001,3.4539999999999997,R,1.0,1.0
Max Scherzer,Changeup,-0.5589999999999999,1.383,R,1.0,2.0
Max Scherzer,4 Seam Fastball,-0.838,2.376,L,0.0,0.0
Max Scherzer,4 Seam Fastball,-0.376,2.6639999999999997,R,0.0,0.0
Max Scherzer,4 Seam Fastball,-1.729,3.195,R,0.0,1.0
Max Scherzer,4 Seam Fastball,-0.43799999999999994,2.438,R,1.0,1.0
Max Scherzer,Slider,-0.012,2.491,R,1.0,2.0
Max Scherzer,4 Seam Fastball,0.218,2.073,R,0.0,0.0
Max Scherzer,4 Seam Fastball,-0.331,2.819,R,0.0,1.0
Max Scherzer,Slider,0.19699999999999998,1.9980000000000002,R,0.0,2.0
Max Scherzer,4 Seam Fastball,-0.5820000000000001,1.855,R,0.0,0.0
Max Scherzer,4 Seam Fastball,0.465,2.373,R,0.0,1.0
Max Scherzer,4 Seam Fastball,1.041,3.872,R,0.0,2.0
