,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
3744,Masahiro Tanaka,Slider,-0.249,1.4069999999999998,L,0.0,0.0
3745,Masahiro Tanaka,Splitter,-0.322,1.092,L,0.0,1.0
3746,Masahiro Tanaka,Splitter,-0.365,-0.155,L,0.0,2.0
3747,Masahiro Tanaka,4 Seam Fastball,0.264,3.314,R,0.0,0.0
3748,Masahiro Tanaka,Slider,-0.338,1.745,R,1.0,0.0
3749,Masahiro Tanaka,Sinker,-1.398,2.472,R,1.0,1.0
3750,Masahiro Tanaka,Splitter,-0.52,3.425,R,2.0,1.0
3751,Masahiro Tanaka,4 Seam Fastball,0.615,2.411,R,3.0,1.0
3752,Masahiro Tanaka,Slider,-0.104,1.767,R,3.0,2.0
3753,Masahiro Tanaka,Sinker,-0.816,2.877,R,0.0,0.0
3754,Masahiro Tanaka,Splitter,-0.487,1.031,R,0.0,1.0
3755,Masahiro Tanaka,Slider,0.988,0.986,R,1.0,1.0
3756,Masahiro Tanaka,Splitter,0.438,2.329,R,2.0,1.0
3757,Masahiro Tanaka,Slider,0.532,1.151,R,2.0,2.0
3771,Masahiro Tanaka,Slider,1.075,1.516,R,0.0,0.0
3772,Masahiro Tanaka,Sinker,-0.846,2.457,R,1.0,0.0
3773,Masahiro Tanaka,Sinker,-1.139,2.06,R,1.0,1.0
3774,Masahiro Tanaka,Slider,0.001,2.362,R,1.0,2.0
3775,Masahiro Tanaka,Slider,0.698,2.919,R,0.0,0.0
3776,Masahiro Tanaka,Splitter,-0.107,1.037,R,0.0,1.0
3777,Masahiro Tanaka,Splitter,-0.329,1.941,R,0.0,2.0
3778,Masahiro Tanaka,Sinker,-1.449,1.29,L,0.0,0.0
3779,Masahiro Tanaka,Sinker,-0.041,1.633,L,1.0,0.0
3780,Masahiro Tanaka,Splitter,0.4320000000000001,1.0,L,1.0,1.0
3781,Masahiro Tanaka,Sinker,-0.217,0.923,L,1.0,2.0
3782,Masahiro Tanaka,4 Seam Fastball,-1.575,1.783,L,2.0,2.0
3783,Masahiro Tanaka,Slider,-0.205,1.599,L,3.0,2.0
3784,Masahiro Tanaka,Sinker,0.18600000000000005,1.098,L,0.0,0.0
3785,Masahiro Tanaka,Splitter,0.725,0.575,L,1.0,0.0
3786,Masahiro Tanaka,Sinker,-0.579,2.056,L,1.0,1.0
3804,Masahiro Tanaka,Slider,0.561,0.982,R,0.0,0.0
3805,Masahiro Tanaka,Slider,0.71,0.569,R,1.0,0.0
3806,Masahiro Tanaka,Sinker,0.5660000000000001,2.73,R,2.0,0.0
3807,Masahiro Tanaka,Sinker,-0.395,2.0,R,2.0,1.0
3808,Masahiro Tanaka,Slider,0.483,1.132,R,0.0,0.0
3809,Masahiro Tanaka,Sinker,-0.359,3.554,R,1.0,0.0
3810,Masahiro Tanaka,Sinker,0.92,1.368,R,2.0,0.0
3811,Masahiro Tanaka,4 Seam Fastball,0.485,2.136,R,3.0,0.0
3812,Masahiro Tanaka,Sinker,0.73,1.05,R,3.0,1.0
3813,Masahiro Tanaka,Splitter,-0.302,2.544,L,0.0,0.0
3814,Masahiro Tanaka,4 Seam Fastball,0.23,2.191,R,0.0,0.0
3815,Masahiro Tanaka,Slider,-0.259,2.541,R,0.0,0.0
3816,Masahiro Tanaka,Splitter,-0.46,1.266,R,0.0,1.0
3817,Masahiro Tanaka,Splitter,-0.866,1.085,R,0.0,2.0
3818,Masahiro Tanaka,Slider,-0.16,2.241,R,1.0,2.0
3819,Masahiro Tanaka,Sinker,-1.26,3.217,R,0.0,0.0
3820,Masahiro Tanaka,4 Seam Fastball,-0.973,3.464,R,1.0,0.0
3821,Masahiro Tanaka,Slider,-0.419,1.965,R,2.0,0.0
3822,Masahiro Tanaka,Sinker,-0.6779999999999999,2.454,R,2.0,1.0
3823,Masahiro Tanaka,Curveball,0.29600000000000004,1.41,R,0.0,0.0
3824,Masahiro Tanaka,Splitter,-0.096,1.6840000000000002,R,1.0,0.0
3825,Masahiro Tanaka,Slider,-1.761,4.145,R,1.0,1.0
3826,Masahiro Tanaka,Splitter,0.036000000000000004,2.138,R,2.0,1.0
3827,Masahiro Tanaka,Slider,0.257,2.414,R,2.0,2.0
3828,Masahiro Tanaka,Splitter,-0.251,3.037,L,0.0,0.0
3843,Masahiro Tanaka,Sinker,-1.083,1.5590000000000002,L,0.0,0.0
3844,Masahiro Tanaka,Curveball,-0.925,4.509,L,1.0,0.0
3845,Masahiro Tanaka,Sinker,-0.271,2.392,L,2.0,0.0
3846,Masahiro Tanaka,Slider,-1.155,2.075,L,2.0,1.0
3847,Masahiro Tanaka,Splitter,-0.345,1.495,L,2.0,2.0
3848,Masahiro Tanaka,Splitter,-0.344,1.829,L,3.0,2.0
3849,Masahiro Tanaka,4 Seam Fastball,0.916,2.156,R,0.0,0.0
3850,Masahiro Tanaka,Splitter,0.026,0.952,R,0.0,1.0
3851,Masahiro Tanaka,Splitter,0.37,0.037000000000000005,R,0.0,2.0
3852,Masahiro Tanaka,Slider,0.394,1.854,R,1.0,2.0
3853,Masahiro Tanaka,Sinker,-0.509,2.631,R,0.0,0.0
3854,Masahiro Tanaka,Splitter,-0.8340000000000001,1.555,R,0.0,1.0
3855,Masahiro Tanaka,Splitter,-0.222,0.6,R,0.0,2.0
3856,Masahiro Tanaka,Slider,-1.07,1.501,L,0.0,0.0
3857,Masahiro Tanaka,Splitter,-0.742,0.145,L,0.0,1.0
3858,Masahiro Tanaka,4 Seam Fastball,1.045,1.786,L,1.0,1.0
3859,Masahiro Tanaka,Splitter,-0.7879999999999999,0.457,L,2.0,1.0
3860,Masahiro Tanaka,Slider,-0.206,0.375,L,3.0,1.0
3861,Masahiro Tanaka,Sinker,-1.048,2.861,R,0.0,0.0
3862,Masahiro Tanaka,Slider,-0.042,1.824,R,1.0,0.0
3863,Masahiro Tanaka,Splitter,-0.305,1.405,R,1.0,1.0
3864,Masahiro Tanaka,Splitter,-0.598,1.06,R,1.0,2.0
3865,Masahiro Tanaka,Slider,0.457,2.302,R,2.0,2.0
3866,Masahiro Tanaka,Slider,0.134,1.487,R,2.0,2.0
3867,Masahiro Tanaka,Splitter,-0.447,1.3330000000000002,R,2.0,2.0
3868,Masahiro Tanaka,Slider,1.436,-0.484,R,2.0,2.0
3869,Masahiro Tanaka,Slider,0.004,1.3019999999999998,R,3.0,2.0
4041,James Paxton,4 Seam Fastball,0.156,1.243,L,0.0,0.0
4042,James Paxton,4 Seam Fastball,0.275,1.04,L,1.0,0.0
4043,James Paxton,4 Seam Fastball,0.5329999999999999,2.302,L,2.0,0.0
4044,James Paxton,4 Seam Fastball,-0.049,1.535,L,2.0,1.0
4045,James Paxton,2 Seam Fastball,-2.005,2.363,R,0.0,0.0
4046,James Paxton,4 Seam Fastball,-0.8320000000000001,1.683,R,1.0,0.0
4047,James Paxton,4 Seam Fastball,-0.02,1.79,R,0.0,0.0
