,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
1114,Clay Buchholz,4 Seam Fastball,0.07,1.873,L,0.0,0.0
1115,Clay Buchholz,2 Seam Fastball,-1.215,3.152,L,0.0,1.0
1116,Clay Buchholz,Cutter,0.575,1.775,L,1.0,1.0
1117,Clay Buchholz,2 Seam Fastball,-1.291,1.921,L,0.0,0.0
1118,Clay Buchholz,Curveball,-0.07200000000000001,1.04,L,0.0,1.0
1119,Clay Buchholz,Curveball,-0.227,0.058,L,0.0,2.0
1120,Clay Buchholz,Curveball,-0.231,1.182,L,1.0,2.0
1121,Clay Buchholz,2 Seam Fastball,-0.778,0.747,L,0.0,0.0
1122,Clay Buchholz,2 Seam Fastball,-0.6609999999999999,2.588,L,1.0,0.0
1123,Clay Buchholz,2 Seam Fastball,-0.7170000000000001,1.852,L,0.0,0.0
1153,Clay Buchholz,2 Seam Fastball,0.777,1.555,R,0.0,0.0
1154,Clay Buchholz,2 Seam Fastball,-0.7909999999999999,2.075,R,1.0,0.0
1155,Clay Buchholz,Cutter,-0.29600000000000004,1.791,R,1.0,1.0
1156,Clay Buchholz,Changeup,-0.652,1.203,R,1.0,2.0
1157,Clay Buchholz,2 Seam Fastball,-0.043,1.539,L,0.0,0.0
1158,Clay Buchholz,2 Seam Fastball,-1.439,2.577,L,0.0,1.0
1159,Clay Buchholz,Changeup,-1.101,1.52,L,0.0,2.0
1160,Clay Buchholz,2 Seam Fastball,-0.386,0.4,L,0.0,0.0
1161,Clay Buchholz,Curveball,-0.935,2.0580000000000003,L,1.0,0.0
1162,Clay Buchholz,2 Seam Fastball,-0.7979999999999999,1.396,L,1.0,1.0
1163,Clay Buchholz,Changeup,-0.995,2.833,L,1.0,2.0
1164,Clay Buchholz,Curveball,0.37,0.654,L,1.0,2.0
1165,Clay Buchholz,Changeup,-0.89,3.988,L,2.0,2.0
1166,Clay Buchholz,2 Seam Fastball,0.223,1.087,L,3.0,2.0
1167,Clay Buchholz,Curveball,-0.733,2.292,L,3.0,2.0
1194,Clay Buchholz,2 Seam Fastball,-0.24,1.648,L,0.0,0.0
